sqft,bedrooms,home_age,neighborhood,garage,price
3062,1,80,central,none,565039.55
2039,4,12,industrial,one,396728.47
3244,6,45,central,one,749715.74
2827,1,85,riverside,none,575755.58
1853,5,66,industrial,two,367871.06
2781,1,48,suburban,one,590321.26
2650,4,29,industrial,two,573811.04
1381,2,71,central,one,352846.08
3157,6,37,central,one,720979.54
1259,5,68,industrial,one,230013.53
4034,2,39,industrial,two,825825.79
1695,4,13,central,two,475778.59
2091,6,40,central,none,529940.07
2448,1,4,riverside,one,576938.06
1899,4,26,riverside,two,533173.31
1925,1,86,university,one,342105.09
1569,2,41,central,one,400006.51
1146,4,46,university,one,300864.05
3792,2,18,riverside,one,860804.0
3205,6,61,suburban,two,719656.91
3997,2,74,central,two,802525.46
3087,6,84,suburban,none,626933.08
1193,5,8,suburban,two,405907.26
1998,1,16,riverside,one,478014.51
1987,3,47,industrial,two,376972.37
2087,1,30,industrial,two,432899.84
2134,3,35,industrial,one,427896.01
2756,3,84,industrial,none,400970.26
1531,4,44,industrial,none,243256.82
3055,2,52,riverside,two,654106.98
1784,5,17,riverside,none,507598.9
2385,5,10,university,none,560662.94
1782,5,55,university,one,445054.0
3894,2,53,riverside,two,771687.6
1209,2,43,university,none,286401.54
3593,6,9,central,one,866728.8
2023,4,30,industrial,one,434144.0
3541,3,31,university,two,703190.25
1499,4,47,central,none,349132.18
2406,2,61,industrial,one,396634.58
3164,1,86,university,two,628957.87
1697,5,5,university,one,460728.84
785,3,84,suburban,one,173809.97
2682,2,43,riverside,two,613939.08
2325,5,3,university,one,592355.09
3110,6,41,central,two,752880.38
3982,2,64,central,one,816020.99
3264,3,89,university,one,574183.42
2237,4,42,suburban,one,436191.88
2520,2,21,industrial,none,441657.84
3201,5,7,central,none,837170.58
2085,4,42,university,two,475532.49
3270,4,70,suburban,one,642302.45
2946,3,3,industrial,two,648939.28
1782,2,45,suburban,two,415560.62
1332,4,65,university,none,256849.66
1769,4,88,suburban,one,375292.44
1215,1,14,industrial,none,246655.93
3246,6,1,industrial,one,693124.18
2495,5,54,suburban,none,538175.22
2293,4,64,university,none,492636.68
3300,6,11,suburban,two,768065.98
668,1,10,industrial,two,167694.69
3940,2,77,suburban,none,796212.73
3324,2,72,central,none,695736.62
3298,5,88,riverside,two,638718.14
4125,3,38,central,two,897314.58
3944,5,24,central,none,919022.08
1146,2,48,central,none,353086.64
3323,5,57,industrial,two,657874.91
1143,5,78,riverside,two,338261.7
680,2,60,university,one,193719.68
2204,6,89,suburban,two,444985.36
1035,6,16,university,none,341433.69
1279,6,18,central,none,335914.14
877,2,30,riverside,two,310566.57
4015,5,55,suburban,one,867176.77
2269,6,75,industrial,none,486336.43
3992,3,29,university,two,850432.5
3884,4,43,riverside,one,896935.49
3251,1,84,industrial,one,503635.23
1376,1,34,university,one,312910.17
2665,6,22,riverside,none,673617.67
852,5,40,suburban,two,276977.14
3135,1,65,suburban,two,580442.13
3502,4,52,central,two,814280.35
1492,3,69,riverside,none,346216.29
1159,4,28,riverside,none,350153.01
1208,5,53,university,two,369727.27
3803,3,92,industrial,none,632758.59
4003,5,55,university,none,757756.99
1224,5,74,suburban,none,274691.81
3762,5,9,university,one,831390.97
3865,1,67,industrial,one,655641.02
812,5,18,suburban,two,274525.38
2139,2,16,suburban,two,508173.09
1206,4,73,industrial,two,201758.02
1928,6,20,riverside,two,537441.37
2782,4,17,industrial,none,539937.31
1864,5,67,university,none,419163.23
3384,2,83,industrial,two,611960.09
3602,5,21,suburban,two,827768.82
2033,2,92,university,none,368895.66
1482,5,48,industrial,none,292214.9
2266,3,5,central,none,556621.48
3322,1,60,suburban,one,649386.57
4044,2,76,suburban,two,744923.9
2185,6,21,central,two,653126.39
3109,6,76,university,none,633423.28
1971,6,52,university,two,460767.32
851,4,53,suburban,two,273913.99
953,3,50,university,none,254837.54
3056,6,75,riverside,none,693976.42
3170,5,41,riverside,two,731698.51
3620,6,29,riverside,none,802352.67
1379,4,4,industrial,one,296478.12
1209,4,16,suburban,none,337606.93
2094,3,5,central,none,527252.02
3034,4,15,central,one,728536.72
3601,3,4,industrial,none,779307.88
1404,6,25,central,one,388257.14
3666,6,37,central,two,847671.8
1140,5,68,industrial,two,234865.88
4138,1,45,central,two,891400.31
1225,3,95,university,two,326400.63
3083,2,91,riverside,none,577122.88
3084,3,8,suburban,none,703885.78
3964,2,8,industrial,none,752373.66
3333,2,94,university,two,674101.35
3788,1,50,suburban,none,729948.11
3435,6,43,riverside,none,745306.26
1332,3,83,suburban,one,272708.92
2258,3,79,riverside,none,460789.09
1081,1,26,riverside,none,321368.09
1676,3,71,industrial,two,309433.6
3541,4,38,university,one,735994.23
758,6,30,university,one,289450.02
3522,3,30,central,two,795185.23
1449,1,12,industrial,one,277918.83
874,3,19,university,two,266834.34
3586,3,26,industrial,one,676677.58
2027,1,75,suburban,two,412328.0
704,4,35,suburban,one,189045.86
2138,3,12,university,one,491952.59
2908,4,68,university,one,641312.57
2904,5,65,suburban,none,614803.76
3873,2,72,industrial,one,726804.92
1554,2,27,suburban,two,342675.67
3473,2,44,central,two,749185.77
4066,6,17,suburban,none,840473.15
2104,6,36,industrial,one,416819.91
3414,5,4,industrial,one,741244.2
1470,4,7,university,two,392178.13
2897,5,65,riverside,none,674382.01
1534,6,93,university,none,330692.52
1881,4,12,suburban,two,434021.45
1342,2,56,central,none,368489.55
674,1,86,university,one,114059.57
2370,5,78,central,one,483001.17
2965,2,46,central,one,678488.47
3665,2,82,suburban,two,703254.42
1943,5,63,central,two,464185.16
1697,4,66,industrial,one,339748.02
3810,2,25,university,two,850265.55
2451,6,1,university,none,601627.22
2481,6,36,industrial,none,523300.46
4176,1,55,industrial,one,715815.87
1027,1,45,riverside,one,238353.36
3162,5,19,suburban,two,727710.84
2827,3,30,riverside,two,639721.16
2596,2,23,riverside,none,602979.48
2485,2,50,central,none,579487.38
2994,2,28,central,one,670470.79
4055,3,86,central,none,776151.61
3738,5,9,university,two,805766.11
3817,4,63,suburban,none,805625.03
3798,1,82,riverside,none,773319.49
2709,3,82,industrial,one,449210.05
1762,4,20,university,two,462275.85
2538,6,78,suburban,none,474767.34
2213,5,64,university,none,553379.57
3637,5,68,industrial,one,686418.46
1274,1,64,central,one,310987.16
2257,2,15,riverside,one,532668.81
3201,1,18,riverside,two,684249.49
