amount,hour,country_type,device_age_days,txn_velocity_24h,fraud
105.96,10,foreign,825,10,no
60.77,9,local,616,2,no
96.39,16,local,459,1,no
26.44,10,local,833,8,no
37.51,4,local,284,9,no
9.0,0,local,147,4,no
11.17,6,foreign,895,1,no
31.94,7,local,559,9,no
13.18,11,foreign,658,4,no
120.47,3,foreign,762,1,no
121.03,15,local,729,3,no
362.34,2,local,420,6,no
139.01,23,local,37,8,no
106.76,21,local,24,5,no
42.32,19,local,236,10,no
5.14,10,local,886,11,no
20.39,14,local,56,6,no
33.04,20,foreign,189,9,no
58.25,7,foreign,807,5,no
184.48,22,local,227,5,no
132.56,3,local,118,1,no
104.23,19,local,179,7,no
200.9,10,local,530,8,no
54.95,0,foreign,236,9,yes
6.32,22,foreign,764,6,no
14.15,17,local,887,1,no
87.29,5,local,716,6,no
112.0,23,local,35,12,no
19.86,6,foreign,255,4,no
8.33,0,foreign,426,11,yes
11.63,20,foreign,270,4,no
19.08,17,local,528,2,no
115.11,2,local,362,2,no
126.01,0,local,528,3,no
5.87,20,local,423,2,no
31.46,20,local,383,11,no
146.15,23,local,150,1,no
282.98,20,local,509,2,no
41.8,3,local,796,5,no
80.04,0,foreign,677,9,no
304.7,0,local,3,5,no
15.84,11,foreign,70,3,no
83.14,9,local,90,3,no
96.04,1,local,458,5,no
112.91,20,local,749,12,no
65.74,5,foreign,200,7,no
25.52,19,foreign,831,11,no
47.48,19,local,525,9,no
13.24,1,local,624,7,no
87.71,9,local,729,4,no
127.78,9,local,223,4,no
139.13,21,local,55,9,no
37.87,21,foreign,255,8,no
106.09,6,local,153,9,no
41.66,9,local,253,1,no
212.78,12,local,56,3,no
99.39,14,local,899,2,no
57.53,3,local,603,9,no
195.16,12,local,679,1,no
74.15,11,foreign,249,4,no
51.44,19,local,375,11,no
99.8,23,local,819,10,no
104.58,20,foreign,353,8,no
109.28,8,foreign,410,2,no
140.6,7,local,811,11,no
296.12,21,local,834,1,no
101.54,12,local,549,9,no
13.95,3,foreign,536,8,no
129.26,0,local,375,4,no
317.08,22,local,708,4,no
344.9,7,foreign,764,6,no
234.57,8,local,510,8,no
135.25,0,local,150,7,no
36.22,17,local,272,4,no
66.89,1,local,759,6,no
174.02,11,local,727,7,no
43.14,16,foreign,427,2,no
30.63,0,foreign,402,12,no
54.65,18,local,113,1,no
8.06,4,local,240,4,no
304.02,16,local,135,11,no
31.5,16,local,487,2,no
106.13,1,foreign,456,7,no
112.59,9,local,379,4,no
37.0,11,local,24,2,no
10.78,3,local,112,10,no
16.99,14,local,342,8,no
109.88,2,local,353,6,no
5.25,0,local,553,1,no
50.48,2,local,856,10,no
123.15,21,local,372,8,no
154.26,17,local,253,9,no
55.87,21,local,539,2,no
19.25,13,local,754,11,no
69.3,4,foreign,35,12,no
13.58,22,local,900,11,no
16.1,21,local,679,9,no
126.6,17,foreign,219,8,no
6.42,17,local,358,3,no
7.21,11,foreign,633,9,no
122.43,21,local,329,7,no
65.3,11,local,95,3,no
79.14,16,local,760,6,no
315.74,20,local,285,4,no
42.8,22,local,756,6,no
67.28,4,local,847,12,no
133.78,21,local,93,1,no
8.67,12,local,372,4,no
17.89,10,foreign,864,11,no
247.34,10,local,337,2,no
73.24,5,foreign,714,8,no
36.83,2,local,638,8,no
91.18,5,local,34,10,no
58.81,8,local,130,4,no
50.56,7,local,757,7,no
173.08,0,foreign,851,11,no
39.5,23,local,442,8,no
43.69,3,local,178,11,no
118.89,3,local,879,5,no
20.72,0,local,431,2,no
77.86,6,local,524,1,no
27.42,7,local,596,7,no
98.92,19,local,277,4,no
18.67,14,local,28,9,no
152.86,10,local,132,9,no
65.81,20,local,722,7,no
76.37,20,local,708,3,no
49.85,9,local,862,1,no
103.33,6,local,531,5,no
70.12,22,local,119,12,no
8.84,19,local,435,5,no
18.14,14,local,428,10,no
63.44,11,local,502,7,no
74.05,4,local,110,8,no
90.8,20,local,228,1,no
20.19,11,foreign,742,11,no
33.28,20,foreign,739,4,no
67.68,11,local,258,7,no
117.4,6,foreign,385,2,no
52.22,8,local,708,6,no
65.17,20,local,216,9,no
58.18,6,local,657,12,no
115.72,22,local,733,5,no
133.04,0,local,279,3,no
71.0,16,local,111,9,no
17.9,12,foreign,623,6,no
158.45,13,local,858,11,no
19.61,20,local,591,11,no
84.33,21,local,703,9,no
109.28,17,local,606,12,no
44.72,7,local,132,11,no
58.83,14,foreign,115,11,no
108.79,8,local,277,4,no
269.0,16,local,808,6,no
90.13,17,local,258,9,no
66.74,23,local,852,6,no
131.64,6,local,670,10,no
91.15,19,local,436,4,no
58.83,4,local,64,10,no
68.12,21,local,66,6,no
100.87,7,local,610,4,no
33.95,20,foreign,140,9,no
345.18,18,foreign,574,5,no
78.7,17,foreign,580,10,no
41.01,21,local,408,9,no
128.67,18,foreign,510,12,no
42.29,6,local,221,5,no
32.72,4,local,599,8,no
36.23,16,foreign,701,4,no
50.53,1,local,197,6,no
99.17,13,local,601,5,no
32.5,18,foreign,697,4,no
193.06,0,local,276,10,no
118.78,23,local,377,5,no
36.55,2,local,512,12,no
38.23,12,local,725,4,no
97.61,4,local,59,1,no
138.14,10,foreign,599,8,no
76.15,15,foreign,862,10,no
6.55,0,local,467,9,no
51.69,4,foreign,240,1,no
174.46,23,local,331,1,no
65.3,11,local,605,2,no
80.53,10,local,714,7,no
18.65,8,local,220,2,no
75.57,16,local,666,8,no
51.88,7,local,191,6,no
86.57,0,local,195,4,no
95.93,1,local,714,2,no
96.2,7,foreign,763,1,no
18.66,18,local,171,1,no
158.71,11,local,485,10,no
39.93,15,local,511,10,no
97.03,22,local,761,1,no
145.22,11,local,398,4,no
39.58,22,local,519,12,no
81.97,10,foreign,87,1,no
170.05,12,local,107,3,no
64.74,7,foreign,530,2,no
178.15,19,local,683,7,no
9.74,12,local,384,2,no
51.14,19,foreign,68,8,no
233.06,1,local,224,2,no
133.69,14,foreign,548,3,no
149.97,5,local,656,10,no
46.32,22,foreign,893,7,no
28.62,19,foreign,119,3,no
148.1,17,foreign,81,7,no
70.96,23,local,274,10,no
89.97,3,local,446,8,no
94.3,9,local,826,3,no
71.59,22,foreign,878,1,no
26.72,13,local,639,1,no
43.32,15,foreign,602,3,no
36.64,20,local,288,4,no
91.09,13,local,514,2,no
12.89,4,local,682,4,no
204.08,8,local,715,9,no
28.27,10,foreign,760,4,no
70.42,16,local,529,10,no
54.02,17,foreign,649,12,no
75.1,23,local,820,7,no
113.86,14,local,660,5,no
131.24,16,local,31,1,no
241.87,1,local,754,7,no
46.54,22,local,262,12,no
63.45,7,local,550,4,no
46.9,8,local,689,12,no
17.32,16,local,784,7,no
22.35,12,local,283,11,no
8.5,0,local,704,4,no
77.83,13,foreign,427,8,no
54.52,12,local,813,10,no
47.15,4,local,693,12,no
200.07,3,foreign,655,8,no
138.31,22,local,381,12,no
45.58,16,local,353,12,no
40.84,3,local,360,8,no
16.46,20,local,693,10,no
70.25,5,local,324,12,no
153.5,2,local,56,5,no
16.33,13,local,236,2,no
440.32,17,local,702,10,no
182.34,21,local,900,1,no
92.98,0,local,281,11,no
68.68,15,foreign,826,12,no
17.57,2,local,5,7,no
8.48,0,local,726,7,no
13.53,9,local,136,6,no
30.14,13,foreign,38,3,no
31.53,5,foreign,55,8,no
104.14,7,local,649,9,no
116.77,12,foreign,307,11,no
5.24,23,local,647,10,no
17.9,3,foreign,348,2,no
182.52,22,local,706,2,no
43.14,15,local,315,8,no
398.56,4,local,682,7,no
20.66,6,local,743,6,no
140.92,19,foreign,96,1,no
79.95,13,local,238,10,no
84.94,1,local,656,10,no
139.03,10,local,406,4,no
13.02,3,local,430,4,no
83.01,21,local,885,12,no
58.78,7,local,12,11,no
8.43,19,local,221,2,no
42.94,22,foreign,388,11,no
7.03,15,local,592,5,no
55.52,5,local,111,7,no
95.63,18,local,642,7,no
65.06,19,local,683,11,no
76.54,1,foreign,676,7,no
37.98,14,foreign,166,6,no
35.66,2,foreign,27,9,yes
228.02,13,local,72,7,no
48.43,4,local,546,6,no
84.47,21,local,49,4,no
145.66,5,local,852,12,no
30.35,0,local,673,1,no
88.92,2,foreign,529,8,no
51.36,15,foreign,540,7,no
23.46,23,local,754,12,no
50.44,17,foreign,360,11,no
40.3,5,local,723,7,no
14.74,3,local,445,4,no
36.16,5,local,795,7,no
166.98,18,local,102,12,no
60.61,7,local,725,8,no
100.62,3,local,560,6,no
105.23,23,local,711,9,no
167.4,19,foreign,5,5,no
100.26,15,local,485,1,no
193.34,0,foreign,605,6,no
311.18,14,local,794,2,no
92.84,8,foreign,95,4,no
224.23,15,local,423,1,no
20.89,5,local,564,6,no
139.76,18,local,439,2,no
25.59,13,foreign,716,11,no
146.67,13,local,148,1,no
54.83,12,local,513,3,no
49.43,6,foreign,666,7,no
6.27,13,local,85,5,no
45.64,20,local,717,11,no
223.26,1,local,585,8,no
115.62,3,local,783,5,no
18.09,5,local,45,2,no
21.2,10,local,415,6,no
105.19,1,local,105,9,no
90.22,22,local,876,2,no
155.08,18,foreign,294,10,no
147.66,23,foreign,57,7,no
310.06,23,local,874,10,no
28.26,19,local,111,3,no
87.3,9,local,120,6,no
43.86,21,local,421,1,no
86.48,19,local,626,3,no
103.96,17,local,649,6,no
33.3,13,foreign,663,9,no
92.63,19,foreign,645,2,no
115.06,15,local,131,10,no
195.49,22,foreign,707,9,no
74.76,4,local,792,5,no
129.79,0,foreign,427,12,no
47.41,1,local,388,2,no
44.32,23,local,58,8,no
89.0,2,local,315,7,no
22.98,3,foreign,651,6,no
102.82,2,local,718,5,no
57.8,19,local,61,8,no
156.29,9,local,465,4,no
157.12,1,local,494,2,no
68.17,1,local,341,12,no
50.68,2,foreign,194,1,no
48.78,10,local,20,10,no
35.01,8,local,52,5,no
32.92,22,local,560,11,no
11.2,12,local,472,2,no
98.76,11,local,744,9,no
41.32,18,foreign,552,12,no
68.2,13,local,210,5,no
19.99,10,local,114,12,no
51.23,19,local,226,9,no
256.7,2,local,772,4,no
192.94,16,foreign,13,12,no
152.51,4,local,177,3,no
78.2,10,foreign,780,2,no
10.02,19,foreign,335,7,no
25.85,18,local,605,1,no
61.52,23,foreign,586,12,no
84.78,4,local,77,7,no
72.71,23,local,843,8,no
11.07,22,local,116,9,no
161.46,5,local,569,12,no
49.45,20,foreign,345,1,no
29.64,17,local,686,12,no
102.77,20,local,642,11,no
50.04,10,local,394,3,no
108.79,18,local,365,11,no
44.72,15,local,413,10,no
29.94,2,local,779,4,no
20.58,9,foreign,100,5,no
36.74,7,local,222,12,no
103.03,2,local,126,9,no
140.07,23,local,890,1,no
84.8,2,local,534,4,no
6.18,2,foreign,739,7,no
61.45,21,local,89,9,no
75.36,5,foreign,742,5,no
63.97,16,local,452,5,no
53.93,14,local,377,7,no
99.16,19,local,731,8,no
57.12,13,local,167,4,no
53.16,14,local,217,5,no
13.43,10,local,695,5,no
29.7,17,local,267,3,no
277.84,6,foreign,512,12,yes
75.6,7,local,161,5,no
58.95,17,local,485,10,no
57.29,12,foreign,423,2,no
13.88,7,local,420,12,no
154.23,8,local,279,4,no
407.08,12,foreign,590,12,yes
278.4,9,local,807,11,no
35.81,1,local,516,4,no
322.27,12,local,378,2,no
127.18,13,local,193,1,no
215.53,3,local,291,1,no
11.38,23,local,861,10,no
24.96,16,foreign,337,8,no
55.89,2,local,62,11,no
105.11,1,local,661,1,no
154.08,2,local,374,9,no
273.46,19,local,51,10,no
113.94,16,local,337,6,no
57.12,8,foreign,567,4,no
49.73,6,local,94,12,no
121.08,6,local,343,10,no
230.85,14,local,361,1,no
18.83,18,local,649,7,no
91.23,19,foreign,884,11,no
66.33,22,local,161,11,no
39.49,4,local,719,5,no
79.18,18,local,675,2,no
107.13,21,local,224,5,no
12.88,2,foreign,50,10,no
67.17,2,local,91,12,no
39.82,7,local,515,6,no
210.57,15,foreign,836,8,no
89.82,2,local,646,2,no
115.48,6,local,245,8,no
6.13,21,local,667,1,no
50.82,20,local,401,6,no
8.46,6,local,600,8,no
47.12,10,foreign,39,9,no
55.58,16,local,798,1,no
8.49,17,local,372,4,no
69.25,22,local,398,5,no
133.99,20,foreign,105,3,no
14.78,20,local,348,2,no
21.98,22,local,667,12,no
98.93,22,local,482,12,no
176.71,11,foreign,737,9,no
95.95,16,local,52,4,no
95.15,3,local,620,3,no
53.47,11,foreign,770,7,no
44.21,21,local,836,3,no
175.31,17,local,5,5,no
74.75,13,local,207,1,no
143.53,5,local,457,5,no
92.5,4,local,451,9,no
11.06,23,local,77,9,no
237.92,15,local,124,9,no
5.9,4,local,799,2,no
133.28,19,local,124,4,no
333.68,20,local,609,7,no
14.11,7,foreign,306,3,no
139.52,13,local,376,12,no
67.91,9,local,148,1,no
74.7,9,local,321,1,no
58.57,15,local,416,11,no
18.04,9,foreign,230,1,no
136.84,11,foreign,765,10,no
336.53,4,local,501,9,yes
9.39,19,foreign,784,2,no
47.54,7,local,711,2,no
289.87,23,local,384,8,no
102.64,8,local,463,8,no
11.62,6,foreign,111,8,no
27.0,20,foreign,182,4,no
186.54,0,local,26,12,no
18.83,20,local,756,1,no
25.61,15,local,346,10,no
170.6,9,local,582,1,no
330.65,15,foreign,321,8,yes
95.66,1,local,159,12,no
122.72,15,local,560,8,no
49.76,18,local,54,9,no
133.09,22,local,418,4,no
65.88,19,foreign,666,3,no
184.73,17,local,628,4,no
62.55,16,local,803,5,no
87.26,16,local,23,1,no
86.48,15,local,543,8,no
68.2,17,local,855,7,no
92.83,6,local,588,5,no
370.14,6,foreign,838,3,no
54.43,10,local,368,6,no
55.43,13,local,572,4,no
116.93,0,local,281,1,no
85.13,2,local,79,4,no
35.07,7,local,407,8,no
21.03,2,local,387,5,no
5.63,13,foreign,316,5,no
41.47,11,local,765,11,no
95.13,5,local,889,1,no
10.77,20,local,810,6,no
38.81,12,local,315,6,no
9.64,10,foreign,420,12,no
186.63,16,local,368,7,no
85.78,16,local,311,2,no
82.51,5,foreign,194,6,no
9.02,23,local,563,9,no
16.58,22,foreign,817,7,no
91.6,20,foreign,302,8,no
170.65,1,local,541,10,no
65.88,9,local,395,1,no
51.75,7,foreign,584,12,no
88.99,7,local,469,11,no
6.81,16,local,468,8,no
150.06,12,local,29,12,no
21.52,14,local,577,5,no
7.72,3,local,163,10,no
22.14,20,local,549,5,no
38.68,7,local,282,5,no
143.32,7,foreign,326,12,no
102.55,1,local,429,3,no
27.59,13,local,376,8,no
12.15,3,local,658,2,no
36.32,15,local,83,10,no
147.17,21,foreign,320,9,no
28.92,18,local,542,1,no
16.92,18,local,86,11,no
205.06,13,foreign,259,8,no
197.09,2,local,495,9,no
167.88,13,local,732,6,no
105.69,22,foreign,445,3,no
31.11,21,local,246,9,no
44.39,18,local,174,4,no
215.53,22,local,742,7,no
150.14,10,local,730,2,no
85.35,16,local,702,9,no
39.1,22,foreign,189,7,no
119.29,10,local,670,9,no
261.18,1,foreign,592,6,yes
131.59,3,local,556,12,no
17.98,8,local,300,12,no
73.23,13,local,773,3,no
187.7,11,local,644,3,no
30.18,5,local,158,1,no
150.49,14,local,154,6,no
14.43,23,local,508,9,no
53.47,15,local,525,10,no
209.56,4,local,816,2,no
38.55,18,foreign,529,10,no
175.96,20,local,193,9,no
47.08,4,local,810,9,no
195.48,13,foreign,102,4,no
64.0,8,local,430,2,no
166.49,11,local,267,3,no
99.39,19,local,816,11,no
66.78,16,foreign,97,3,no
129.76,19,foreign,896,9,no
47.72,20,local,532,1,no
33.6,15,local,809,9,no
20.4,12,foreign,229,8,no
58.96,10,local,191,1,no
148.71,10,local,807,10,no
77.59,1,local,584,7,no
37.58,15,local,851,9,no
54.55,22,local,47,5,no
145.41,22,foreign,211,12,no
14.19,15,local,398,11,no
16.48,11,foreign,478,2,no
46.83,14,local,203,3,no
76.07,14,foreign,263,2,no
6.49,14,local,430,1,no
68.31,0,local,41,12,no
29.32,21,local,185,8,no
5.9,2,local,537,1,no
34.43,18,foreign,50,7,no
17.13,15,local,766,6,no
46.47,22,local,516,8,no
31.25,9,local,864,5,no
92.77,7,local,752,8,no
21.4,19,local,364,2,no
103.16,21,local,238,5,no
38.07,3,local,481,2,no
57.65,20,local,736,3,no
32.76,11,local,675,6,no
70.16,0,foreign,308,9,no
7.08,8,local,589,10,no
5.07,6,foreign,827,11,no
18.44,20,local,817,3,no
160.37,7,local,281,1,no
30.52,1,foreign,157,12,no
480.3,11,local,461,7,no
14.39,22,local,49,11,no
6.86,15,local,391,3,no
7.43,19,local,304,11,no
20.5,3,local,66,1,no
104.37,10,local,338,7,no
7.55,9,local,405,3,no
8.95,7,local,357,10,no
61.62,0,local,270,8,no
52.23,11,foreign,688,6,no
33.1,12,local,445,9,no
27.1,18,local,179,8,no
172.06,10,foreign,64,4,no
34.87,3,foreign,114,2,no
170.73,21,local,390,11,no
160.36,21,local,358,5,no
78.66,5,local,307,9,no
103.37,7,local,246,10,no
100.53,10,local,894,12,no
79.24,21,foreign,252,3,no
238.47,13,local,203,2,no
64.42,3,local,713,4,no
138.2,21,local,851,3,no
32.1,16,local,446,6,no
19.25,0,local,72,2,no
174.22,9,foreign,339,9,no
52.93,7,local,703,1,no
59.5,11,foreign,267,7,no
91.55,10,local,179,2,no
59.09,4,local,674,1,no
149.39,0,foreign,730,5,no
34.54,9,local,225,5,no
431.27,22,local,196,8,no
93.21,8,local,557,7,no
64.74,10,local,188,12,no
165.94,13,local,296,11,no
120.38,20,local,704,1,no
78.05,5,local,553,12,no
8.44,8,foreign,719,7,no
21.99,12,local,5,2,no
21.56,19,foreign,245,6,no
209.68,21,local,825,10,no
85.67,19,local,872,1,no
29.66,16,local,200,5,no
114.7,12,foreign,144,7,no
72.49,18,local,612,5,no
7.13,16,local,400,3,no
18.54,16,local,897,5,no
9.09,8,foreign,744,4,no
113.78,5,local,790,1,no
48.09,12,local,848,5,no
58.19,19,foreign,128,8,no
107.76,15,local,401,4,no
53.71,17,local,19,1,no
34.19,13,local,781,3,no
70.24,8,local,469,6,no
35.96,18,local,726,1,no
23.68,1,local,885,11,no
19.3,2,local,283,2,no
160.58,14,local,853,12,no
84.19,7,local,554,10,no
57.72,6,foreign,882,1,no
126.2,10,local,807,10,no
42.93,9,local,154,3,no
17.26,2,local,53,9,no
31.76,0,local,475,1,no
34.97,21,local,333,4,no
29.06,8,foreign,303,7,no
203.83,12,local,73,4,no
21.64,16,foreign,15,8,no
76.67,1,local,392,5,no
82.51,19,foreign,299,6,no
116.02,8,local,608,12,no
89.71,9,local,100,1,no
49.48,10,local,665,1,no
72.86,7,local,18,12,no
16.65,20,local,418,10,no
100.1,15,local,863,12,no
19.2,8,foreign,390,7,no
26.74,12,local,161,6,no
29.97,3,local,316,1,no
176.5,12,foreign,129,4,no
94.75,2,local,480,9,no
43.54,11,local,409,9,no
142.25,20,foreign,54,3,no
5.74,21,local,673,5,no
34.94,20,local,814,4,no
331.75,12,local,760,9,no
23.63,19,local,776,1,no
54.59,17,foreign,555,2,no
93.04,6,local,293,2,no
151.22,2,foreign,128,1,no
97.87,8,local,23,12,no
95.98,4,local,549,11,no
55.4,9,local,639,8,no
114.18,12,foreign,469,2,no
44.09,8,local,60,11,no
21.16,15,foreign,364,11,no
56.01,11,local,297,5,no
17.54,14,foreign,74,4,no
125.14,10,local,559,4,no
6.0,12,local,135,4,no
102.82,9,local,237,2,no
333.02,5,local,28,9,no
71.26,13,local,123,10,no
10.06,12,local,135,2,no
207.22,11,local,696,10,no
26.17,9,local,779,6,no
192.33,7,foreign,480,10,no
9.12,12,local,530,1,no
76.29,10,foreign,769,2,no
57.19,11,local,469,8,no
416.47,10,foreign,632,6,no
32.3,19,local,835,7,no
9.0,21,foreign,626,6,no
26.56,23,local,890,8,no
495.96,12,local,792,4,no
165.78,11,foreign,864,11,no
57.03,15,local,469,9,no
176.04,19,local,254,7,no
74.92,9,foreign,164,1,no
25.49,21,local,541,1,no
110.27,7,foreign,183,8,no
54.51,15,local,764,3,no
212.42,23,foreign,470,8,no
74.93,18,local,209,11,no
217.76,2,local,480,10,no
90.28,21,local,661,2,no
5.3,10,local,601,7,no
47.79,17,local,750,12,no
95.47,21,foreign,775,9,no
33.17,19,local,580,9,no
177.8,9,local,847,12,no
192.05,17,local,737,9,no
74.62,22,foreign,890,8,no
52.46,3,foreign,737,12,no
26.01,8,local,557,11,no
207.36,20,local,448,9,no
287.28,10,local,219,7,no
35.64,22,foreign,116,6,no
41.96,12,local,312,12,no
181.46,10,foreign,8,6,no
71.5,11,local,57,4,no
114.16,1,local,517,9,no
5.99,21,local,126,11,no
73.89,13,local,376,11,no
197.21,23,local,196,1,no
177.31,7,local,589,10,no
10.95,10,local,795,7,no
37.57,15,local,276,5,no
86.59,23,local,180,2,no
237.36,17,foreign,505,3,no
107.32,7,local,518,7,no
85.62,18,local,332,8,no
50.81,19,local,132,3,no
85.34,3,local,273,1,no
10.62,10,local,67,4,no
29.73,9,local,171,7,no
25.71,7,local,224,10,no
26.95,5,local,238,4,no
126.37,3,local,840,3,no
77.95,9,local,766,3,no
177.79,21,local,510,7,no
22.33,4,local,723,3,no
20.41,5,foreign,362,6,no
181.82,23,local,787,1,no
15.07,20,local,655,4,no
24.33,6,local,69,8,no
54.25,12,local,194,10,no
37.97,9,local,215,6,no
43.33,22,local,91,8,no
120.27,0,foreign,74,7,no
69.0,21,foreign,603,12,no
73.41,14,local,61,8,no
41.76,9,foreign,167,7,no
14.51,3,foreign,689,6,no
47.38,2,foreign,143,3,no
13.81,3,foreign,71,9,no
64.4,5,local,547,3,no
27.51,10,foreign,569,11,no
108.32,23,local,808,8,no
39.54,18,local,849,12,no
269.89,21,local,175,2,no
91.9,21,local,671,11,no
60.15,10,local,538,11,no
42.52,1,foreign,420,8,no
97.34,11,local,83,3,no
106.34,9,local,534,10,no
74.48,16,foreign,13,2,no
25.79,4,foreign,243,9,yes
41.94,18,local,269,4,no
137.97,10,local,376,4,no
12.85,9,local,36,1,no
13.7,21,local,821,12,no
75.18,11,local,695,6,no
166.66,19,local,180,10,no
53.14,2,local,407,8,no
107.85,0,foreign,791,1,no
52.95,0,local,833,5,no
7.13,19,foreign,707,12,no
12.76,14,foreign,756,5,no
36.91,11,local,190,8,no
66.46,3,local,849,4,no
19.18,4,foreign,128,12,yes
130.42,16,foreign,27,7,no
9.85,0,local,590,4,no
102.51,21,local,337,9,no
74.86,14,local,653,5,no
352.85,6,foreign,738,3,no
6.44,9,foreign,330,6,no
45.1,2,local,122,7,no
64.1,3,foreign,829,12,no
36.64,9,local,398,6,no
29.23,12,local,666,2,no
144.48,11,local,655,7,no
150.1,17,foreign,846,6,no
17.33,4,local,115,3,no
70.07,4,local,142,2,no
252.87,4,local,268,2,no
236.85,20,local,421,3,no
174.95,21,local,630,9,no
110.54,12,local,861,10,no
10.55,11,local,361,1,no
50.61,20,foreign,726,5,no
37.53,0,local,507,2,no
24.91,11,local,559,6,no
126.14,18,local,594,6,no
86.79,0,local,308,1,no
35.73,13,foreign,877,2,no
19.99,3,foreign,761,7,no
97.13,13,local,225,3,no
5.72,15,local,120,6,no
91.39,10,foreign,70,1,no
235.92,2,local,218,10,no
395.51,9,foreign,114,10,yes
14.27,12,foreign,712,9,no
49.68,8,foreign,29,6,no
275.08,5,local,757,4,no
7.53,23,foreign,419,3,no
83.2,4,foreign,644,9,no
87.05,14,local,135,11,no
55.36,21,foreign,863,6,no
39.36,13,local,817,4,no
191.29,23,foreign,123,3,no
20.84,6,local,147,10,no
54.98,9,local,308,6,no
84.65,16,foreign,683,2,no
384.25,4,local,722,10,yes
9.7,13,local,754,8,no
100.87,23,local,165,11,no
20.98,20,local,810,6,no
43.64,19,foreign,827,12,no
105.42,3,local,110,3,no
89.9,22,local,525,10,no
184.86,16,local,685,8,no
15.03,22,local,602,9,no
79.36,9,local,747,11,no
24.57,4,local,262,4,no
119.28,5,local,495,2,no
65.46,4,local,753,6,no
80.94,9,local,164,10,no
29.98,4,local,297,4,no
134.66,10,local,91,6,no
36.22,16,foreign,878,11,no
133.36,16,local,193,5,no
86.82,10,foreign,182,6,no
11.68,20,local,744,6,no
81.07,0,foreign,489,4,no
19.58,14,local,1,7,no
21.72,15,local,662,1,no
68.62,9,local,809,8,no
38.22,2,local,575,12,no
93.96,12,foreign,507,2,no
18.38,16,local,664,11,no
66.45,1,local,568,4,no
48.24,17,local,120,1,no
36.65,15,local,704,9,no
20.84,3,foreign,540,7,no
239.34,10,foreign,855,12,no
145.13,17,local,586,12,no
33.96,8,foreign,107,5,no
78.49,4,local,275,11,no
285.26,7,foreign,314,4,no
23.86,0,local,350,2,no
193.83,16,local,204,10,no
87.54,20,local,727,4,no
123.14,22,local,365,2,no
162.31,16,local,383,1,no
141.7,9,local,22,7,no
51.01,23,local,849,4,no
72.15,21,local,482,12,no
156.33,8,local,181,2,no
239.15,5,local,630,3,no
16.99,0,local,372,12,no
5.93,19,local,490,6,no
43.5,18,local,15,6,no
59.21,2,local,848,1,no
7.45,20,local,760,9,no
25.62,3,local,23,1,no
149.49,3,local,165,6,no
10.58,5,local,136,7,no
18.26,21,local,791,8,no
61.21,11,local,769,7,no
135.24,19,foreign,734,9,no
152.01,4,local,325,4,no
172.81,16,local,200,2,no
125.11,22,foreign,686,2,no
75.43,7,foreign,464,8,no
104.48,15,local,161,3,no
31.55,8,foreign,741,4,no
5.88,20,local,362,3,no
54.55,23,foreign,305,5,no
21.93,15,foreign,104,5,no
53.23,19,local,513,1,no
372.97,18,local,137,1,no
183.72,5,local,148,6,no
44.65,3,local,519,5,no
33.34,8,local,365,1,no
32.73,10,local,899,4,no
141.7,14,foreign,679,3,no
157.4,2,local,329,1,no
176.69,19,local,846,9,no
76.14,10,local,426,6,no
75.36,11,local,201,11,no
190.51,7,foreign,848,1,no
133.72,6,foreign,500,9,no
279.88,20,local,662,1,no
61.71,18,foreign,435,10,no
60.3,23,foreign,827,5,no
22.02,12,local,711,12,no
133.86,3,local,189,1,no
14.93,23,local,60,4,no
37.05,18,local,725,1,no
7.73,14,local,14,9,no
14.23,22,local,719,7,no
15.73,23,local,670,12,no
70.28,13,local,371,2,no
13.89,11,local,13,5,no
18.1,8,local,641,2,no
93.43,15,foreign,121,12,no
41.35,13,local,754,5,no
47.22,3,foreign,163,1,no
30.55,5,local,700,8,no
51.76,13,local,589,3,no
36.23,13,local,44,7,no
33.15,10,foreign,664,6,no
78.16,20,local,531,9,no
80.69,17,foreign,320,9,no
82.25,2,foreign,850,9,no
217.45,1,local,794,10,no
41.87,6,local,41,10,no
35.73,9,local,161,10,no
29.09,14,foreign,185,5,no
18.17,0,local,350,1,no
122.31,19,local,507,8,no
22.35,0,local,2,10,yes
178.99,22,foreign,300,1,no
113.85,13,local,585,9,no
14.04,5,local,68,6,no
245.52,12,local,753,2,no
11.14,22,local,1,10,no
112.23,1,foreign,716,10,no
189.07,21,foreign,151,4,no
38.12,20,local,496,9,no
41.61,10,foreign,321,7,no
11.35,7,local,449,1,no
12.72,6,local,790,7,no
74.96,5,foreign,71,6,no
207.44,22,local,729,7,no
120.0,6,local,231,10,no
40.79,9,local,29,2,no
5.14,3,local,55,5,no
61.14,2,local,413,9,no
12.21,20,foreign,835,6,no
30.02,9,local,703,3,no
71.93,9,local,591,11,no
100.1,14,local,134,2,no
67.35,19,local,204,5,no
81.44,14,foreign,92,3,no
34.54,3,foreign,724,1,no
17.09,17,local,343,2,no
22.46,19,local,166,12,no
36.61,11,foreign,150,6,no
236.36,23,local,725,8,no
16.53,1,local,26,10,no
7.19,21,local,640,1,no
50.29,4,foreign,437,4,no
8.37,22,local,29,6,no
113.54,2,local,326,5,no
88.01,17,local,138,5,no
66.28,8,local,801,3,no
41.6,12,local,246,4,no
25.99,20,foreign,522,10,no
222.35,10,local,201,2,no
