tenure_months,monthly_spend,support_tickets,contract,region,churn
46,93.72,2,two_year,south,no
5,62.77,2,monthly,east,yes
6,128.15,4,monthly,south,yes
26,125.65,6,annual,west,yes
28,127.01,3,monthly,south,yes
12,105.75,2,monthly,south,yes
31,91.47,5,two_year,east,yes
20,51.56,8,monthly,south,yes
38,131.27,6,annual,south,yes
8,45.21,5,monthly,north,yes
20,31.51,3,monthly,west,yes
31,132.57,5,annual,east,yes
20,119.87,3,annual,east,yes
13,112.8,4,two_year,west,yes
64,102.24,1,annual,south,yes
7,84.9,2,monthly,north,yes
54,45.37,2,annual,east,no
19,51.11,6,monthly,south,yes
35,26.53,6,monthly,north,yes
34,49.17,4,monthly,south,yes
13,69.94,8,monthly,north,yes
70,54.78,4,annual,west,yes
56,138.59,3,two_year,north,no
23,131.99,0,monthly,west,no
36,93.13,8,two_year,east,yes
67,45.28,8,annual,east,yes
26,70.5,6,two_year,south,yes
62,70.18,3,two_year,west,no
53,127.22,1,monthly,north,yes
17,131.86,4,annual,north,yes
23,129.41,3,annual,north,yes
19,72.32,8,annual,south,yes
23,50.73,1,annual,west,no
52,132.57,8,monthly,south,yes
52,27.92,8,annual,north,yes
55,130.03,4,two_year,east,yes
39,118.93,5,monthly,south,yes
43,88.97,7,monthly,east,yes
66,37.97,1,two_year,west,no
37,109.57,6,two_year,north,yes
64,75.91,1,annual,south,no
2,127.86,3,annual,north,yes
2,45.03,8,monthly,south,yes
49,29.23,1,annual,south,no
57,102.52,3,monthly,west,yes
35,62.47,3,two_year,north,yes
10,134.64,1,monthly,north,no
4,56.81,5,annual,south,yes
37,81.82,5,two_year,north,yes
65,66.74,8,two_year,west,yes
12,107.18,2,annual,north,no
10,44.35,0,monthly,east,no
23,74.81,5,monthly,south,yes
56,46.48,3,monthly,west,yes
60,47.13,4,annual,north,no
59,130.89,8,annual,south,yes
53,80.73,6,monthly,west,yes
42,82.52,5,annual,north,yes
38,122.4,4,monthly,north,yes
30,27.5,6,two_year,south,yes
51,75.84,1,annual,north,no
60,100.32,2,annual,east,no
29,127.63,0,two_year,west,no
69,76.57,2,monthly,east,no
69,97.88,7,two_year,south,yes
38,99.93,4,monthly,west,yes
28,96.76,2,two_year,north,no
68,57.16,4,two_year,west,no
32,64.8,6,annual,west,yes
4,40.39,8,monthly,east,yes
45,108.92,1,two_year,east,yes
11,95.92,3,annual,south,yes
24,63.82,1,two_year,east,no
58,82.47,4,two_year,north,yes
66,102.21,3,annual,west,yes
19,81.38,4,annual,north,yes
72,36.76,0,monthly,north,no
44,95.22,1,monthly,east,yes
47,110.12,4,annual,east,yes
18,136.62,1,two_year,west,yes
20,111.56,8,two_year,south,yes
48,92.46,3,monthly,east,yes
66,85.34,4,two_year,south,yes
45,63.65,2,monthly,east,no
22,95.4,8,monthly,north,yes
58,33.91,1,annual,east,no
72,54.84,0,monthly,south,no
27,42.99,1,monthly,west,no
55,131.61,7,two_year,south,yes
14,44.05,7,monthly,west,yes
12,101.2,2,monthly,north,yes
64,29.7,0,monthly,south,no
50,100.61,0,monthly,north,no
63,31.08,5,monthly,south,yes
66,30.26,4,two_year,east,no
11,80.54,2,two_year,south,yes
21,25.37,0,annual,north,no
8,53.38,2,annual,east,no
11,76.57,0,two_year,west,no
58,131.8,1,annual,north,no
69,84.88,4,two_year,west,no
71,32.64,6,annual,east,yes
65,33.6,7,monthly,east,yes
34,77.46,8,annual,east,yes
43,106.68,1,monthly,north,yes
13,27.85,6,monthly,north,yes
17,73.23,5,annual,south,yes
20,110.87,0,two_year,east,no
6,48.45,2,monthly,east,yes
58,68.76,1,two_year,north,no
11,87.24,4,two_year,north,yes
42,43.57,1,monthly,south,no
72,132.9,5,monthly,east,yes
60,77.27,7,monthly,west,yes
4,96.17,2,two_year,north,no
42,90.97,4,two_year,east,yes
41,42.82,4,two_year,north,no
36,32.61,2,monthly,east,no
56,113.05,6,two_year,north,yes
3,129.69,8,annual,south,yes
5,72.72,2,annual,south,yes
58,50.86,4,annual,south,no
60,49.39,1,monthly,north,no
25,68.62,7,annual,east,yes
25,61.08,6,two_year,south,yes
2,50.63,2,annual,north,yes
6,35.91,2,monthly,west,no
21,42.55,8,two_year,north,yes
29,63.82,8,monthly,east,yes
13,78.85,0,annual,south,yes
60,48.14,7,monthly,north,yes
28,124.73,5,monthly,east,yes
20,118.71,8,annual,east,yes
69,70.95,2,monthly,south,no
42,31.69,4,monthly,west,no
29,121.03,6,annual,east,yes
6,115.18,7,two_year,west,yes
66,75.44,0,annual,south,no
17,53.95,3,monthly,west,yes
34,63.22,0,monthly,south,no
67,131.55,6,monthly,north,yes
54,121.67,1,monthly,west,yes
24,128.59,1,monthly,east,yes
30,81.25,1,two_year,west,no
22,113.38,2,annual,east,yes
67,90.3,5,two_year,north,no
23,134.73,3,monthly,south,yes
10,91.03,1,annual,north,no
69,120.79,0,annual,south,no
49,55.95,4,monthly,east,no
6,66.48,8,two_year,north,yes
55,110.39,8,monthly,south,yes
69,47.01,2,annual,east,no
23,42.11,5,annual,east,yes
54,129.38,4,monthly,east,yes
61,94.2,0,annual,north,no
10,45.75,0,two_year,north,no
71,120.13,5,monthly,west,yes
1,88.32,6,two_year,west,yes
66,56.78,0,annual,west,no
17,95.57,0,two_year,west,no
44,37.79,2,monthly,south,yes
48,131.68,2,annual,east,no
58,134.84,1,two_year,south,no
33,77.68,4,two_year,west,yes
11,90.32,5,monthly,east,yes
39,77.13,0,two_year,north,no
3,94.44,7,monthly,east,yes
22,77.06,3,annual,east,no
37,129.28,6,monthly,north,yes
28,76.17,6,monthly,west,yes
23,70.85,5,two_year,south,yes
26,121.79,3,two_year,north,no
5,81.87,4,annual,west,yes
7,90.62,7,annual,east,yes
11,98.67,1,two_year,west,yes
28,68.42,7,monthly,east,yes
18,36.89,6,monthly,east,yes
68,41.98,5,monthly,east,no
9,59.34,6,annual,south,yes
20,38.24,1,monthly,south,no
27,64.13,5,monthly,east,yes
67,131.7,3,monthly,west,yes
63,98.64,7,two_year,east,yes
71,129.75,7,two_year,north,yes
12,120.53,3,two_year,north,yes
31,113.18,1,two_year,east,no
65,110.72,6,annual,west,yes
61,47.22,3,two_year,north,no
16,90.94,2,annual,south,no
65,117.4,5,annual,south,yes
41,88.03,3,two_year,west,no
62,138.57,5,monthly,west,yes
53,91.55,4,two_year,east,yes
43,33.38,6,two_year,south,yes
21,48.12,6,annual,north,yes
14,34.69,4,two_year,north,yes
12,114.01,5,monthly,west,yes
14,110.83,5,two_year,north,yes
39,41.14,4,two_year,west,yes
23,74.33,7,two_year,east,yes
65,50.67,6,annual,north,yes
37,42.76,8,annual,south,yes
27,104.1,3,monthly,south,yes
65,99.76,0,monthly,east,no
44,134.6,8,annual,west,yes
35,68.28,5,monthly,west,yes
53,124.51,4,two_year,north,yes
30,61.5,0,annual,east,no
66,121.07,4,monthly,west,yes
5,26.25,0,two_year,east,no
18,115.26,2,two_year,north,no
22,126.3,0,annual,south,yes
38,64.67,1,monthly,west,no
65,58.66,6,annual,north,yes
53,77.06,3,monthly,east,yes
61,95.53,7,two_year,west,yes
10,93.22,4,monthly,west,yes
16,71.16,6,annual,west,yes
41,27.47,2,two_year,west,no
63,50.85,8,two_year,west,yes
35,58.17,1,annual,south,no
72,63.81,6,annual,north,yes
37,134.15,2,two_year,east,yes
27,25.37,4,annual,north,yes
70,81.99,8,annual,west,yes
63,42.66,3,monthly,east,yes
51,73.57,8,annual,north,yes
8,107.88,0,two_year,south,no
15,122.97,5,monthly,east,yes
71,66.42,1,monthly,west,no
35,44.62,4,monthly,east,no
16,58.27,8,annual,east,yes
29,104.05,7,monthly,north,yes
61,84.49,3,two_year,west,yes
24,116.59,3,two_year,west,yes
5,28.74,5,monthly,west,yes
46,133.07,7,annual,east,yes
58,39.22,4,two_year,south,no
54,87.52,6,annual,north,yes
44,118.67,3,two_year,east,yes
2,56.81,0,two_year,south,no
16,128.25,8,two_year,north,yes
50,104.23,5,annual,north,yes
34,50.79,4,two_year,south,no
8,100.53,0,two_year,south,no
59,135.22,4,two_year,west,yes
8,29.97,4,annual,north,no
55,73.34,7,two_year,west,yes
19,42.56,1,two_year,south,no
19,50.65,7,two_year,south,yes
51,49.36,4,annual,north,no
12,78.22,4,monthly,south,yes
11,118.65,7,monthly,west,yes
29,124.19,6,annual,north,yes
22,83.14,5,annual,west,yes
67,80.18,7,monthly,south,yes
19,91.17,6,two_year,south,yes
66,130.62,8,monthly,east,yes
55,83.91,6,annual,west,yes
70,36.96,0,annual,south,no
31,63.26,7,monthly,west,yes
65,72.09,8,monthly,north,yes
46,117.35,5,monthly,west,yes
46,111.96,3,annual,west,yes
3,35.46,1,two_year,north,no
43,115.51,5,monthly,east,yes
17,122.4,0,monthly,west,yes
45,126.67,7,monthly,north,yes
12,79.75,4,annual,east,yes
10,65.94,3,annual,west,yes
53,37.92,6,monthly,east,yes
62,42.75,5,two_year,north,no
23,99.8,7,monthly,east,yes
30,92.24,0,monthly,east,yes
23,133.79,5,annual,west,yes
33,138.25,1,annual,north,no
51,128.52,6,two_year,west,yes
19,52.84,2,annual,south,no
65,105.49,3,two_year,west,yes
53,91.86,3,annual,east,no
24,29.04,4,annual,south,yes
25,57.88,1,two_year,south,no
14,71.65,5,monthly,north,yes
55,94.55,5,annual,south,yes
63,128.61,7,two_year,west,yes
62,44.03,6,monthly,east,yes
2,84.73,0,annual,north,yes
50,86.41,7,two_year,south,yes
8,44.89,3,annual,east,yes
58,70.71,0,annual,south,no
42,80.28,1,annual,south,no
60,131.8,1,monthly,west,yes
55,128.43,5,monthly,south,yes
70,76.75,7,two_year,south,yes
65,81.05,1,annual,east,no
66,105.43,2,two_year,west,no
26,49.7,3,two_year,east,yes
47,121.34,5,monthly,south,yes
42,43.55,7,monthly,east,yes
29,81.21,4,monthly,east,yes
71,81.7,2,annual,east,yes
11,84.22,5,two_year,north,yes
46,78.05,5,annual,south,yes
27,135.72,2,monthly,west,yes
25,25.01,7,annual,south,yes
59,97.61,3,annual,north,yes
4,127.71,4,monthly,east,yes
51,123.27,6,two_year,west,yes
62,104.11,4,two_year,east,no
60,39.4,7,annual,south,yes
51,107.45,3,monthly,east,yes
50,29.02,1,annual,south,no
50,73.82,0,annual,east,no
4,134.33,2,monthly,south,yes
9,110.84,8,two_year,west,yes
34,92.32,1,two_year,west,yes
63,62.13,8,monthly,west,yes
43,47.1,6,two_year,north,yes
10,85.04,2,monthly,north,yes
2,136.13,6,two_year,east,yes
71,128.11,7,two_year,west,yes
65,66.4,8,two_year,north,yes
33,70.04,0,two_year,west,no
17,86.23,7,monthly,west,yes
58,96.13,1,two_year,south,no
46,40.79,8,annual,west,yes
21,26.75,5,two_year,south,yes
59,54.46,0,monthly,west,no
2,46.7,5,annual,north,yes
43,51.61,3,monthly,east,yes
22,76.78,4,monthly,east,yes
31,91.17,5,monthly,north,yes
54,101.06,8,two_year,north,yes
42,70.49,7,two_year,south,yes
32,109.69,6,annual,east,yes
30,68.04,0,annual,east,no
7,36.98,1,monthly,west,yes
67,107.22,0,monthly,east,no
3,45.69,1,monthly,north,no
48,50.4,1,two_year,west,no
2,25.77,3,two_year,north,no
44,40.97,3,two_year,west,no
45,134.82,4,two_year,east,yes
37,82.87,1,two_year,north,no
6,91.06,2,annual,east,yes
71,95.3,1,annual,west,no
50,122.93,0,two_year,north,no
17,73.84,6,annual,south,yes
41,123.62,0,two_year,east,no
67,82.65,1,annual,east,no
3,49.82,0,monthly,west,no
71,62.26,6,monthly,south,yes
1,101.4,1,monthly,west,yes
50,29.49,6,monthly,west,yes
1,30.06,3,two_year,north,no
5,41.15,7,two_year,south,yes
28,122.31,3,annual,north,yes
72,72.73,5,annual,south,yes
17,77.73,2,two_year,north,yes
41,42.93,0,two_year,south,no
21,78.07,4,two_year,west,no
46,101.15,1,two_year,south,no
9,137.78,8,annual,north,yes
40,118.54,4,annual,west,yes
24,119.13,3,annual,west,yes
35,112.64,8,monthly,east,yes
65,125.4,0,annual,north,no
70,137.59,1,annual,south,no
33,33.36,5,monthly,north,yes
72,115.97,5,annual,south,yes
42,122.25,4,two_year,east,yes
69,60.1,2,monthly,south,yes
50,29.06,3,monthly,west,no
21,68.39,7,two_year,north,yes
13,34.17,7,two_year,east,yes
45,41.12,3,two_year,north,yes
32,128.49,2,monthly,west,yes
61,129.35,3,monthly,east,yes
2,55.82,2,monthly,west,yes
36,115.57,4,monthly,west,yes
44,111.69,7,monthly,west,yes
23,87.49,5,annual,north,yes
15,55.92,7,two_year,west,yes
44,30.38,1,two_year,east,no
35,41.76,3,annual,west,yes
15,127.99,6,annual,west,yes
26,62.39,0,annual,south,no
29,131.34,4,annual,north,yes
30,92.21,7,monthly,north,yes
4,111.49,5,monthly,south,yes
7,116.62,5,two_year,east,yes
7,126.77,1,annual,south,no
71,36.99,2,annual,east,no
9,82.85,3,annual,west,yes
35,139.47,5,two_year,west,yes
10,131.03,7,annual,east,yes
70,58.48,7,two_year,south,yes
35,138.55,1,monthly,east,yes
30,128.91,7,annual,west,yes
2,125.86,5,annual,west,yes
37,74.25,2,monthly,south,yes
34,107.84,8,annual,west,yes
71,63.2,6,two_year,east,yes
17,42.83,8,monthly,north,yes
65,117.9,5,annual,west,yes
17,114.46,3,annual,south,yes
72,81.5,0,monthly,north,no
14,131.56,5,two_year,west,yes
61,119.68,6,two_year,east,yes
35,95.54,6,monthly,south,yes
16,28.35,2,annual,east,no
6,65.1,0,annual,north,no
65,133.28,2,annual,east,no
58,109.33,5,two_year,west,yes
23,70.19,6,two_year,south,yes
46,47.09,6,two_year,south,yes
38,78.5,2,monthly,west,yes
35,30.2,0,monthly,east,no
46,31.23,7,annual,west,yes
67,130.24,3,monthly,north,no
17,58.47,1,monthly,north,yes
4,63.58,3,two_year,west,yes
59,60.81,2,two_year,west,no
27,44.24,5,annual,west,yes
15,77.64,6,two_year,east,yes
11,44.81,5,two_year,east,no
12,55.57,5,annual,east,yes
31,71.45,4,two_year,west,yes
65,100.39,8,monthly,west,yes
45,33.18,4,monthly,north,no
3,66.42,0,annual,west,no
18,135.37,2,monthly,east,yes
5,42.59,7,monthly,south,yes
69,118.7,0,annual,south,no
38,115.29,4,two_year,north,yes
26,70.45,2,two_year,north,no
8,126.03,0,monthly,north,yes
28,91.55,6,annual,north,yes
17,33.84,6,two_year,north,yes
13,123.28,0,two_year,west,yes
67,63.4,8,two_year,east,yes
3,32.71,3,two_year,north,no
27,96.86,6,monthly,north,yes
64,67.64,0,monthly,north,no
47,66.68,8,monthly,south,yes
51,68.0,2,annual,east,no
27,82.38,3,monthly,south,yes
59,107.74,7,two_year,west,yes
25,90.97,5,monthly,west,yes
72,29.39,1,annual,south,no
34,62.65,7,annual,south,yes
45,60.64,6,two_year,west,yes
32,77.48,0,annual,south,no
15,128.04,5,annual,north,yes
64,38.78,7,monthly,south,yes
66,119.05,2,two_year,east,yes
69,117.2,0,annual,north,no
20,61.06,8,annual,north,yes
61,37.22,2,annual,west,no
27,80.09,5,monthly,north,yes
21,138.3,2,monthly,east,yes
44,101.09,1,monthly,south,no
26,74.12,1,annual,east,no
4,64.12,2,annual,east,yes
43,128.99,6,monthly,east,yes
4,76.77,3,annual,east,yes
45,74.71,1,monthly,north,no
23,132.36,7,two_year,south,yes
37,106.58,7,two_year,south,yes
59,72.01,6,annual,east,yes
49,51.4,7,monthly,east,yes
51,48.62,1,monthly,west,no
30,127.63,1,annual,north,yes
40,112.63,1,two_year,west,no
61,61.45,4,two_year,east,yes
31,66.29,5,monthly,north,yes
39,129.28,6,monthly,east,yes
59,52.92,5,annual,north,no
68,31.51,6,monthly,north,yes
38,64.11,5,two_year,south,yes
50,40.66,5,two_year,north,yes
58,136.78,6,monthly,west,yes
56,80.79,6,annual,north,yes
66,107.76,7,two_year,north,yes
65,61.55,6,monthly,east,yes
46,112.95,0,annual,south,no
51,72.84,0,two_year,west,no
42,30.05,2,annual,north,no
66,132.52,7,monthly,north,yes
21,32.54,7,annual,west,yes
47,78.7,1,monthly,north,yes
69,37.05,8,two_year,south,yes
14,61.7,7,annual,north,yes
43,69.07,8,two_year,east,yes
60,60.57,3,two_year,south,no
41,60.37,0,annual,east,no
30,132.97,4,two_year,east,no
57,89.0,1,two_year,south,no
45,101.58,7,two_year,west,yes
18,103.08,3,annual,west,no
5,101.96,3,monthly,south,yes
42,122.95,1,annual,south,no
58,80.88,2,monthly,west,no
27,77.74,0,two_year,east,no
29,132.19,0,monthly,south,yes
42,71.16,0,two_year,south,no
50,125.54,7,annual,west,yes
62,112.98,3,annual,north,yes
32,59.18,0,two_year,south,no
71,63.64,7,monthly,east,yes
54,43.14,3,two_year,north,no
35,86.44,4,annual,west,yes
51,78.74,2,annual,north,no
36,91.95,8,monthly,south,yes
33,70.95,3,monthly,west,yes
58,60.99,3,two_year,south,no
3,59.65,3,two_year,north,no
2,113.43,7,monthly,west,yes
41,100.54,0,annual,west,no
24,57.93,3,monthly,west,yes
48,101.51,3,monthly,west,yes
32,54.4,0,annual,south,no
27,73.44,4,monthly,east,yes
24,43.27,7,annual,east,yes
43,41.58,1,two_year,east,no
26,116.5,6,monthly,west,yes
36,74.41,0,monthly,west,no
28,59.04,7,two_year,south,yes
52,33.18,8,two_year,west,yes
7,28.32,6,monthly,south,yes
65,123.26,1,two_year,south,no
24,51.68,0,annual,north,no
47,129.44,0,annual,west,no
31,132.52,2,annual,north,yes
19,32.9,3,annual,north,yes
22,33.68,0,two_year,west,no
32,43.84,4,annual,north,yes
58,115.27,2,two_year,east,no
72,26.91,1,two_year,north,no
7,120.81,1,annual,south,yes
37,46.02,5,monthly,north,yes
57,36.96,4,monthly,north,no
14,83.55,0,monthly,north,yes
41,35.57,3,two_year,south,no
62,130.33,1,annual,south,yes
24,62.84,1,monthly,north,yes
37,139.98,6,two_year,south,yes
4,93.94,3,monthly,west,yes
19,66.55,4,annual,east,no
48,72.63,1,two_year,south,no
44,26.58,1,annual,west,no
53,36.36,6,monthly,north,yes
45,123.48,2,two_year,west,no
22,98.34,2,monthly,east,yes
7,115.06,2,monthly,north,yes
64,76.88,8,annual,west,yes
42,115.23,5,monthly,north,yes
25,82.08,6,annual,west,yes
25,88.95,4,two_year,east,yes
37,50.31,3,monthly,west,yes
13,65.63,3,two_year,west,yes
19,93.99,1,annual,east,no
66,42.3,7,annual,south,yes
17,47.85,8,monthly,east,yes
8,44.82,4,two_year,north,yes
62,89.75,5,two_year,south,yes
11,97.08,1,annual,south,yes
30,52.35,3,monthly,south,no
3,68.89,2,two_year,south,no
47,88.31,1,monthly,east,no
38,60.48,4,annual,north,yes
69,29.85,8,monthly,east,yes
14,88.44,1,monthly,west,yes
33,39.25,5,monthly,west,yes
27,125.03,8,monthly,north,yes
39,42.4,4,annual,south,yes
31,51.76,8,annual,north,yes
55,89.09,7,annual,north,yes
48,37.74,1,annual,south,no
7,35.39,2,two_year,west,yes
22,78.6,8,annual,west,yes
15,61.59,7,monthly,east,yes
24,34.76,1,two_year,west,no
43,121.57,2,monthly,west,yes
26,59.8,4,monthly,east,yes
39,95.21,7,monthly,north,yes
39,52.62,6,monthly,north,yes
39,92.13,5,monthly,east,yes
68,25.63,0,two_year,north,no
60,44.94,7,two_year,south,yes
50,60.98,0,annual,north,no
28,102.46,2,annual,west,no
48,126.98,4,two_year,west,yes
16,116.74,0,annual,south,no
45,86.97,5,monthly,north,yes
39,31.91,6,two_year,south,yes
68,47.78,4,two_year,south,no
29,64.27,5,annual,south,yes
22,94.11,4,annual,south,yes
31,31.67,7,annual,east,yes
60,39.33,3,monthly,east,no
7,109.38,2,two_year,west,yes
54,55.47,7,annual,north,yes
56,108.39,1,two_year,east,yes
11,81.7,8,two_year,east,yes
36,38.96,3,two_year,south,no
63,99.6,1,annual,east,no
6,130.42,0,annual,east,no
63,97.25,4,annual,north,yes
50,68.98,6,two_year,north,yes
42,102.84,6,two_year,north,yes
63,114.99,1,monthly,east,no
52,74.51,3,annual,west,no
18,28.28,4,monthly,west,yes
4,89.06,0,monthly,west,no
8,34.56,5,annual,north,yes
26,109.58,4,two_year,west,yes
25,106.35,1,annual,south,no
4,130.88,3,monthly,north,yes
15,77.16,2,annual,north,no
9,132.49,1,monthly,south,yes
61,120.44,0,monthly,west,no
63,136.17,1,annual,north,no
43,72.81,2,two_year,south,no
2,137.15,2,monthly,west,yes
2,67.85,0,annual,south,no
66,128.8,3,two_year,south,yes
40,76.72,3,annual,east,no
18,108.54,0,two_year,south,no
60,99.82,5,two_year,north,yes
55,84.98,3,monthly,north,no
24,54.31,2,two_year,south,no
46,137.68,3,two_year,south,yes
33,60.04,7,two_year,east,yes
27,135.56,1,monthly,south,yes
72,49.16,7,two_year,south,yes
48,115.94,8,monthly,north,yes
10,32.09,0,monthly,south,yes
39,108.06,2,annual,south,yes
28,118.49,2,two_year,east,yes
28,120.81,6,monthly,south,yes
44,53.22,4,annual,east,no
52,41.15,5,annual,south,yes
3,61.65,4,two_year,east,yes
61,120.26,5,annual,east,yes
51,76.81,6,monthly,west,yes
52,28.81,5,monthly,north,no
55,76.93,8,two_year,south,yes
4,29.75,2,two_year,south,no
16,112.1,0,annual,west,no
2,27.59,4,two_year,south,yes
53,58.15,0,two_year,west,no
8,96.42,5,annual,south,yes
9,104.51,7,annual,west,yes
22,27.52,5,two_year,south,yes
53,74.32,2,monthly,north,yes
37,56.89,7,two_year,north,yes
67,72.84,1,monthly,north,yes
33,72.46,3,monthly,south,yes
61,132.06,7,annual,south,yes
60,83.97,2,two_year,north,no
63,86.53,8,monthly,south,yes
4,70.97,3,two_year,east,no
42,56.44,5,annual,south,no
21,99.33,4,annual,west,yes
42,101.07,2,monthly,south,yes
43,30.46,8,monthly,north,yes
37,41.37,0,annual,south,no
57,118.07,4,two_year,north,no
36,96.49,7,monthly,north,yes
14,127.42,6,monthly,north,yes
33,66.98,6,annual,west,yes
42,118.08,3,annual,north,yes
3,61.62,5,annual,east,yes
30,54.59,6,annual,east,yes
67,48.57,5,two_year,west,no
21,59.84,1,monthly,east,yes
45,74.0,2,monthly,north,yes
38,119.7,4,annual,west,yes
43,92.34,7,monthly,west,yes
29,111.82,8,two_year,south,yes
22,121.07,3,monthly,west,yes
17,49.73,4,annual,west,no
1,123.9,5,two_year,south,yes
62,115.63,5,monthly,north,yes
63,119.79,2,monthly,east,no
56,118.7,6,annual,north,yes
40,109.22,8,monthly,west,yes
65,128.33,6,annual,north,yes
10,48.06,4,monthly,north,yes
10,132.69,6,two_year,west,yes
68,66.08,1,two_year,east,no
4,89.72,4,monthly,east,yes
61,46.4,3,annual,east,yes
51,113.12,7,annual,south,yes
20,72.9,8,two_year,west,yes
50,59.91,4,two_year,east,yes
55,128.04,2,two_year,west,no
43,110.24,6,two_year,east,yes
33,127.95,0,annual,north,yes
38,118.17,4,monthly,south,yes
42,112.04,3,monthly,west,yes
68,51.16,1,annual,west,no
8,121.02,8,monthly,north,yes
23,109.03,7,two_year,east,yes
67,40.63,4,annual,west,no
24,34.78,3,annual,west,yes
17,111.61,2,annual,west,yes
65,89.23,1,monthly,west,yes
14,31.49,6,two_year,west,yes
16,137.7,4,monthly,north,yes
39,113.03,8,monthly,east,yes
8,30.09,8,two_year,west,yes
34,118.99,2,monthly,north,no
50,93.64,6,annual,north,yes
37,37.17,3,annual,north,no
11,96.34,0,monthly,south,no
8,40.02,1,two_year,west,no
53,117.74,0,two_year,east,no
55,87.97,7,monthly,west,yes
56,83.61,4,annual,north,no
29,64.25,7,annual,east,yes
22,113.94,3,two_year,north,no
65,109.57,8,annual,east,yes
65,66.62,1,annual,south,no
20,118.57,8,monthly,south,yes
48,32.68,5,two_year,east,no
70,113.16,3,two_year,west,yes
69,115.21,3,two_year,south,no
23,100.57,6,monthly,south,yes
15,110.94,6,two_year,west,yes
72,109.07,0,two_year,east,no
2,73.75,1,monthly,west,no
16,51.91,1,monthly,south,no
11,66.37,3,monthly,west,no
54,42.31,2,monthly,east,no
21,61.91,3,monthly,west,yes
49,137.53,0,two_year,east,no
62,80.43,6,annual,west,yes
67,55.67,1,annual,south,no
55,80.81,3,monthly,north,yes
43,81.79,3,annual,east,no
51,49.09,3,monthly,west,yes
40,138.84,0,two_year,east,no
8,67.95,7,two_year,west,yes
19,73.46,3,two_year,east,no
66,138.77,2,annual,north,no
39,61.65,7,annual,east,yes
52,110.32,7,monthly,west,yes
45,78.88,4,monthly,north,no
18,68.68,5,annual,east,yes
58,95.03,0,two_year,west,no
63,127.76,6,two_year,south,yes
9,132.42,4,monthly,west,yes
32,62.8,7,annual,north,yes
51,102.34,3,two_year,south,no
22,97.58,0,two_year,east,no
10,76.36,1,two_year,south,no
17,85.21,7,two_year,north,yes
13,137.38,4,monthly,east,yes
4,82.76,5,monthly,east,yes
56,54.44,6,two_year,west,yes
68,64.83,5,annual,north,yes
24,122.79,5,monthly,north,yes
29,83.17,3,monthly,south,yes
11,27.46,6,monthly,south,yes
20,37.44,5,annual,south,yes
49,118.88,4,monthly,west,yes
7,33.01,8,two_year,north,yes
43,134.42,8,annual,west,yes
47,45.91,4,two_year,north,yes
1,97.68,1,annual,west,yes
25,137.09,2,annual,east,yes
59,36.81,3,monthly,west,no
53,68.76,1,two_year,west,no
33,89.52,3,annual,east,yes
59,68.38,1,two_year,south,no
44,110.85,2,annual,east,no
37,100.93,2,monthly,south,yes
24,138.1,4,two_year,west,yes
30,111.81,7,annual,west,yes
68,115.7,3,annual,north,no
34,51.93,1,monthly,south,yes
6,42.98,7,annual,west,yes
72,34.86,6,two_year,west,no
39,58.24,5,monthly,south,yes
11,27.25,6,annual,east,yes
26,89.9,7,two_year,north,yes
62,94.97,8,monthly,south,yes
54,32.83,1,monthly,east,yes
16,40.39,7,monthly,east,yes
6,87.29,5,annual,east,yes
20,82.51,5,annual,north,yes
43,77.61,1,two_year,west,no
17,118.3,8,monthly,west,yes
58,41.12,5,monthly,south,no
61,107.46,1,monthly,east,no
41,33.16,0,annual,south,no
29,105.62,4,two_year,south,yes
21,94.55,3,two_year,west,no
40,27.96,2,annual,north,no
24,123.92,2,annual,west,yes
49,30.56,4,annual,south,no
32,124.89,8,two_year,east,yes
62,34.44,8,annual,east,yes
5,42.17,1,annual,north,no
43,55.12,0,monthly,south,no
2,27.64,1,two_year,north,no
64,109.54,1,annual,south,no
27,115.06,4,monthly,east,yes
38,126.69,2,two_year,west,yes
68,79.13,0,two_year,south,no
28,117.6,4,annual,east,yes
9,73.59,1,monthly,south,yes
37,40.64,7,two_year,west,yes
10,81.35,2,monthly,south,no
54,114.0,6,two_year,west,yes
2,136.23,0,two_year,north,yes
63,62.21,1,annual,north,no
20,117.14,2,monthly,south,yes
3,93.25,4,annual,west,yes
37,139.7,1,annual,north,no
15,36.06,6,annual,south,yes
7,28.32,3,annual,west,yes
8,86.94,5,monthly,south,yes
23,136.04,5,monthly,west,yes
67,59.09,1,annual,west,no
60,91.64,7,annual,west,yes
10,47.83,6,annual,south,yes
19,111.58,5,annual,west,yes
69,126.05,6,two_year,west,yes
46,121.44,2,two_year,south,yes
21,33.2,2,monthly,east,yes
33,120.26,4,two_year,north,yes
48,68.72,5,annual,west,no
27,70.08,3,annual,north,yes
49,38.06,2,two_year,east,no
24,94.82,3,two_year,west,yes
65,83.61,3,monthly,east,no
39,109.82,7,monthly,south,yes
19,47.22,4,monthly,north,yes
67,58.98,3,monthly,east,yes
15,75.81,8,monthly,north,yes
60,53.74,4,two_year,west,no
67,73.94,4,two_year,south,yes
42,90.14,1,two_year,west,no
25,40.09,7,annual,west,yes
11,105.51,1,two_year,south,yes
8,63.88,4,annual,west,yes
29,125.1,0,monthly,north,yes
40,66.97,8,annual,east,yes
29,43.7,2,two_year,west,no
15,84.92,2,annual,east,yes
2,25.45,1,monthly,south,yes
