fixed_acidity,residual_sugar,alcohol,sulphates,color,quality
7.85,4.67,11.02,0.94,red,medium
5.01,6.37,11.05,1.03,red,high
5.86,5.53,9.49,0.46,red,low
8.82,8.12,11.27,0.68,red,medium
4.83,8.26,12.13,0.96,red,high
8.51,5.54,10.3,0.56,white,low
4.84,7.06,13.38,0.77,white,high
7.78,3.21,10.78,1.06,white,medium
7.55,5.05,12.85,0.78,white,high
5.91,7.98,12.07,0.94,red,high
9.38,3.98,12.0,0.96,white,medium
7.27,1.56,13.34,0.93,red,high
9.42,7.74,9.95,0.47,red,low
6.03,2.5,14.46,0.48,red,high
5.47,3.04,8.27,1.01,red,low
7.07,8.14,11.89,0.93,white,medium
6.79,1.12,8.76,1.11,red,low
9.31,5.34,9.81,0.62,red,medium
5.94,7.77,8.72,0.66,white,low
9.24,3.56,12.69,0.54,white,medium
7.74,5.59,11.87,0.89,red,medium
9.36,4.69,12.67,0.64,red,medium
4.86,6.14,11.55,0.95,red,medium
6.05,3.37,9.0,0.87,red,medium
8.22,3.24,11.54,0.35,red,low
6.12,2.49,8.04,0.57,red,medium
9.47,6.62,9.91,0.47,white,low
7.82,6.35,8.2,0.83,white,low
5.55,7.38,13.14,1.05,red,medium
5.22,6.38,12.13,0.46,red,medium
5.26,4.44,12.89,0.46,white,high
8.51,1.4,14.01,0.36,white,medium
5.16,8.05,13.61,0.43,red,high
9.45,5.95,12.94,0.48,white,medium
7.77,2.33,10.22,0.33,red,low
8.69,5.47,11.53,0.58,red,low
8.13,1.07,13.39,0.82,white,medium
5.93,6.19,13.59,0.35,red,high
5.2,1.95,14.18,0.88,white,high
8.34,7.66,8.06,0.69,white,low
8.9,8.46,12.94,0.45,white,medium
7.33,7.42,11.92,0.64,white,high
8.99,2.87,10.05,0.46,white,low
7.63,8.62,9.54,0.49,white,low
5.62,0.84,13.94,0.75,red,high
5.4,6.13,12.78,0.33,white,medium
6.74,3.53,9.18,1.04,red,medium
5.52,3.57,13.69,0.59,white,high
8.36,4.9,8.51,0.43,white,low
7.36,5.41,13.34,1.1,red,medium
5.68,6.61,13.59,1.15,red,high
7.89,7.51,10.89,0.71,white,medium
8.7,3.81,13.71,0.62,red,high
8.61,7.8,13.11,0.78,white,medium
6.74,0.83,14.24,0.33,white,high
8.78,5.54,13.49,1.16,white,high
9.09,6.77,11.72,1.13,red,high
8.93,2.96,12.87,0.99,red,high
6.96,3.43,9.57,1.12,white,low
5.16,5.92,10.14,0.37,white,low
5.55,5.87,14.33,0.68,white,medium
5.04,2.46,10.67,0.37,red,high
8.98,1.53,11.5,0.77,white,medium
7.12,3.81,12.11,0.57,white,high
6.92,3.19,8.12,1.05,white,low
6.43,8.17,10.75,0.47,white,medium
7.09,4.37,12.07,1.06,red,high
6.24,6.2,13.1,0.33,white,medium
7.03,4.06,11.58,0.71,white,medium
9.5,5.5,11.92,0.47,white,medium
8.55,7.55,12.33,1.0,white,medium
4.83,8.4,10.15,0.92,white,high
7.23,8.87,11.77,0.72,white,medium
7.31,3.43,10.86,0.47,red,medium
9.38,3.1,10.69,0.84,white,low
6.64,6.91,9.7,0.86,red,low
9.43,2.94,11.09,0.38,red,medium
5.44,3.41,13.23,0.96,white,medium
8.12,8.22,11.36,0.94,red,medium
8.58,6.52,8.14,0.97,white,medium
5.11,3.31,13.2,1.11,white,high
7.78,5.34,11.93,0.41,red,high
9.3,7.11,11.91,0.51,red,low
8.95,4.7,11.21,1.1,white,medium
6.47,3.24,13.08,0.84,white,medium
6.05,5.89,13.55,0.35,red,high
6.74,6.96,9.06,0.43,red,low
6.67,7.85,13.52,0.75,red,medium
6.17,8.88,8.71,1.09,white,medium
6.05,3.92,11.45,0.42,white,medium
5.06,1.67,14.17,0.42,white,high
6.67,8.79,10.73,0.87,red,medium
5.7,6.87,12.46,0.43,red,high
5.71,4.71,11.32,1.05,white,high
5.12,8.34,9.86,0.75,white,low
5.64,8.4,8.89,1.11,white,medium
8.82,4.05,13.31,1.0,red,high
5.48,6.81,13.44,1.11,white,high
5.4,4.5,8.58,1.08,red,low
8.1,1.0,12.75,1.01,red,high
7.93,6.3,13.25,1.09,red,high
8.81,6.14,13.8,0.82,red,high
6.16,3.1,8.3,0.57,red,low
5.23,4.15,12.05,0.74,white,medium
6.54,3.19,12.32,0.64,white,high
5.77,7.29,13.69,0.76,red,medium
5.45,8.85,14.19,0.38,red,high
6.77,4.3,8.84,1.12,red,medium
6.36,4.0,10.43,0.66,white,medium
5.66,5.1,13.65,0.73,red,high
8.52,5.35,9.32,1.13,red,low
7.15,6.56,14.09,0.53,red,medium
9.34,6.15,11.46,0.9,red,medium
9.08,2.14,13.71,0.38,red,high
4.8,3.56,14.13,0.78,red,high
4.89,4.23,10.85,0.51,white,medium
8.89,7.8,12.91,0.72,white,medium
7.14,1.02,10.78,0.99,white,medium
6.67,8.08,13.55,0.94,white,medium
8.68,1.27,9.95,0.6,white,low
8.96,8.53,14.08,0.6,red,medium
7.57,3.66,10.31,0.48,white,low
6.02,3.59,13.76,1.0,white,high
5.25,8.02,11.67,0.81,white,medium
6.46,6.02,12.74,0.31,white,medium
6.82,3.25,9.56,0.9,red,medium
8.99,7.08,10.55,1.05,red,medium
5.52,6.9,9.27,0.63,white,low
6.55,3.48,8.68,0.61,red,low
7.9,6.85,13.21,0.8,white,high
7.31,8.77,8.92,0.65,red,low
9.18,8.19,14.49,0.38,white,high
8.85,4.81,8.18,0.9,red,low
6.0,5.51,10.94,0.84,red,high
9.38,8.13,11.15,1.19,white,low
7.4,1.56,9.87,0.45,white,low
6.08,8.21,11.48,1.17,white,medium
6.66,2.36,8.52,0.94,red,medium
7.7,7.53,11.74,0.96,red,high
6.11,0.82,8.14,0.58,white,low
6.54,1.82,8.89,0.74,white,low
8.68,7.74,14.35,0.32,red,high
6.18,0.88,13.03,0.64,red,high
6.3,4.38,9.2,0.74,white,medium
9.1,8.19,12.65,0.76,white,medium
7.8,4.83,13.32,0.84,red,medium
7.41,7.76,11.32,0.37,white,medium
8.25,1.32,11.63,0.46,red,medium
5.71,1.12,14.44,0.32,white,high
5.44,3.36,8.19,0.73,red,medium
5.6,4.55,10.91,1.0,red,medium
6.46,7.75,8.03,0.41,white,low
5.19,2.04,12.09,1.0,white,high
9.32,4.76,8.55,0.36,red,low
7.99,5.94,12.89,0.47,white,medium
5.1,6.26,11.8,0.89,white,high
7.43,3.38,10.52,1.06,white,low
9.11,7.76,11.42,0.68,white,low
5.15,4.99,11.71,0.36,red,high
7.59,3.11,13.56,0.95,red,high
5.86,4.66,12.46,0.67,red,high
6.71,7.64,13.66,1.18,red,high
6.34,4.33,10.9,1.06,red,medium
8.83,4.15,9.22,0.71,red,low
8.85,7.24,13.82,0.55,white,high
7.69,1.6,12.98,0.72,red,high
5.98,7.28,8.92,0.31,red,low
7.09,3.03,13.27,0.32,red,medium
7.31,6.88,9.64,1.02,white,medium
8.25,1.15,14.1,0.5,red,high
7.88,1.29,12.76,0.89,white,medium
8.75,7.31,10.42,1.16,white,medium
7.12,1.58,9.43,0.8,white,medium
7.97,4.76,12.78,0.71,red,medium
8.59,6.13,8.27,0.52,red,low
5.99,2.78,10.23,0.76,white,low
8.79,7.15,9.37,0.7,red,low
6.89,8.22,11.42,1.05,white,medium
9.31,1.34,13.29,0.48,white,medium
5.04,2.11,9.47,0.35,white,medium
8.54,8.59,9.07,0.49,red,medium
7.93,4.75,13.39,0.67,white,high
8.05,4.35,12.36,0.85,white,medium
5.35,3.37,8.79,1.13,red,medium
6.43,2.29,14.17,0.34,white,high
7.08,7.14,13.23,0.51,white,medium
5.1,3.02,8.59,0.87,red,low
5.91,5.66,11.37,1.19,red,high
8.06,4.58,9.61,0.82,white,medium
9.28,4.14,14.14,0.6,red,high
7.32,6.44,9.23,0.62,red,medium
4.83,5.69,10.94,0.42,white,medium
8.09,7.55,11.87,0.62,red,high
5.74,4.31,13.65,0.56,white,high
8.49,1.77,13.45,0.59,white,medium
7.88,2.97,8.05,0.57,white,low
9.0,5.95,10.82,0.77,white,medium
7.2,6.98,8.57,0.89,white,low
5.0,1.89,12.35,1.04,red,high
9.3,2.66,11.99,0.36,red,high
8.25,2.26,12.58,0.87,red,high
9.27,8.09,14.48,0.66,red,high
8.84,6.64,9.59,0.7,white,low
8.23,3.1,11.7,0.63,white,low
5.96,6.09,8.9,0.47,red,low
8.15,5.83,14.12,0.96,red,high
8.69,6.17,8.03,0.84,white,low
6.24,8.88,10.12,1.09,red,medium
7.84,3.43,14.0,0.49,white,high
7.17,2.81,10.88,0.72,red,low
5.62,5.58,8.25,1.1,white,medium
9.12,7.25,12.37,1.2,red,high
4.81,0.92,10.84,0.98,white,high
5.52,5.91,8.5,0.32,red,low
5.11,2.78,9.09,1.18,red,low
8.03,2.33,10.05,0.66,white,low
6.54,6.17,10.44,0.92,white,medium
5.5,7.13,10.87,0.92,white,medium
6.61,5.87,12.57,1.19,red,high
5.44,2.15,12.37,1.15,white,high
7.69,7.74,11.18,0.85,white,medium
9.14,8.73,8.97,1.03,red,low
7.0,8.55,8.19,0.7,red,low
6.9,3.84,10.22,0.63,red,medium
4.85,7.02,10.32,0.85,red,low
8.5,7.62,9.78,0.77,white,medium
9.19,5.49,10.54,0.82,white,low
6.44,6.91,11.34,0.48,white,low
8.26,4.0,11.01,0.64,red,low
7.5,4.01,13.55,0.88,red,high
7.42,4.83,12.74,1.12,white,medium
7.33,6.51,12.65,0.59,red,high
8.35,8.93,13.43,0.4,red,high
9.37,6.53,8.64,0.76,white,low
7.62,5.04,12.82,1.13,red,medium
7.59,8.38,12.74,0.97,white,high
7.19,8.79,13.28,0.85,red,high
9.46,7.68,12.35,0.4,white,medium
7.53,5.36,11.49,0.85,white,high
8.1,5.67,10.59,0.5,red,low
7.48,8.13,12.01,0.98,red,high
8.74,1.98,12.55,0.93,white,high
6.42,8.3,10.68,0.62,white,medium
7.13,2.52,8.9,1.11,red,low
7.95,6.87,10.35,1.04,white,medium
7.9,4.22,9.07,0.94,red,low
7.6,3.29,10.23,0.4,red,low
8.96,8.23,11.4,0.74,red,medium
8.44,8.52,10.58,1.13,red,high
7.4,8.78,11.31,0.92,white,medium
9.23,2.52,13.29,1.06,red,high
5.03,8.13,11.42,0.62,red,medium
4.92,5.77,13.7,0.56,white,high
7.89,5.43,13.55,0.77,red,medium
6.62,5.56,10.64,0.35,red,medium
6.93,3.54,10.34,0.81,red,high
8.48,2.37,10.45,0.44,red,low
8.46,5.76,10.64,1.08,white,medium
5.85,3.38,12.63,1.09,red,high
7.71,4.07,11.82,0.75,red,medium
5.68,2.15,13.33,0.82,red,high
5.19,7.38,11.86,0.49,white,medium
5.7,8.98,14.38,0.75,red,medium
6.97,6.93,14.06,0.56,red,high
6.37,8.56,9.19,1.05,red,medium
7.17,1.95,10.3,1.03,white,medium
7.53,7.5,12.85,0.38,white,low
7.9,3.68,13.11,0.84,white,high
6.66,8.47,10.97,1.08,red,high
6.83,1.18,10.0,0.68,red,medium
8.77,4.09,11.92,0.88,white,high
6.49,1.28,12.76,1.02,white,high
5.76,3.67,8.23,0.52,white,low
9.38,6.7,8.29,0.78,white,low
8.5,6.98,9.91,0.75,white,low
6.01,3.84,14.17,0.65,red,high
6.78,8.71,11.22,0.7,red,medium
6.34,7.18,10.76,1.09,white,high
8.38,1.66,8.37,0.56,white,low
6.8,2.63,12.56,0.3,white,medium
5.78,7.6,9.55,0.67,red,low
9.26,7.25,12.05,0.99,white,high
9.35,8.97,11.79,1.14,red,medium
7.62,3.36,12.47,0.98,red,high
6.15,8.93,12.81,1.0,white,medium
7.72,2.21,13.11,0.6,red,high
8.49,1.24,12.62,0.63,red,medium
7.93,6.17,13.59,0.68,red,medium
7.56,5.64,13.3,0.53,white,high
8.11,8.67,12.34,1.04,red,high
8.89,1.98,13.51,0.61,white,medium
6.23,8.27,10.26,0.73,red,medium
6.81,8.52,11.45,1.01,white,high
6.91,2.96,8.12,0.31,red,low
6.82,1.2,11.78,0.74,white,high
8.34,8.79,9.41,1.13,white,low
4.82,4.36,8.64,0.61,white,low
9.39,5.2,12.09,0.77,white,high
7.35,7.15,12.66,1.02,white,medium
8.38,4.77,11.11,1.18,white,medium
8.89,6.74,10.06,0.73,red,medium
7.41,1.82,9.03,1.15,red,medium
7.34,5.82,9.19,1.15,red,low
5.98,5.42,10.05,1.18,white,medium
9.35,5.4,9.18,0.53,red,low
7.39,7.43,11.16,0.6,red,medium
7.26,5.64,13.13,0.8,white,high
8.64,6.55,8.62,1.02,white,low
8.35,4.05,10.43,0.98,white,medium
6.48,7.26,12.48,0.51,red,high
5.69,3.06,9.94,0.51,white,low
8.06,6.75,12.11,0.68,red,medium
6.27,2.84,10.46,0.88,white,medium
5.97,1.02,14.26,1.13,white,high
4.94,1.48,12.97,0.35,white,high
6.78,8.64,12.75,0.48,white,medium
7.12,8.75,11.42,1.05,red,high
7.5,1.03,14.4,0.44,red,medium
4.98,8.69,8.01,0.38,red,low
5.27,6.2,9.76,0.92,red,medium
7.07,6.41,8.18,0.67,white,low
7.18,8.85,9.25,0.92,white,medium
4.9,7.68,9.23,0.55,white,medium
7.03,2.45,9.9,0.48,white,medium
8.41,1.08,10.92,1.12,red,high
6.53,7.36,8.57,1.15,red,low
6.61,6.38,11.95,0.36,red,medium
6.63,1.11,12.41,0.34,red,high
4.94,5.16,9.48,0.86,red,medium
8.35,6.95,13.54,0.81,white,medium
6.03,6.26,12.84,0.32,red,high
6.03,1.4,10.92,0.73,red,high
5.4,1.27,8.48,0.76,white,low
7.14,2.23,8.11,1.12,red,medium
8.36,8.15,13.25,1.09,red,medium
8.24,3.01,14.09,1.01,red,high
8.71,2.29,9.05,0.57,red,low
7.0,4.15,13.49,0.54,white,high
7.4,1.03,14.41,0.91,white,high
8.55,1.29,9.23,0.87,white,medium
5.43,8.11,10.62,1.17,red,high
8.27,6.37,10.1,0.42,white,medium
8.35,2.86,12.24,1.15,red,high
6.4,6.22,11.84,1.15,red,high
7.25,1.7,13.07,0.7,white,medium
7.93,4.16,10.41,1.01,white,medium
5.16,0.84,12.17,0.36,white,medium
8.23,6.2,9.26,0.55,red,medium
6.67,3.79,10.01,1.11,white,medium
6.61,2.04,9.1,0.74,red,medium
8.28,7.53,11.18,0.82,white,medium
8.07,2.3,13.6,1.04,red,medium
9.29,6.82,9.85,1.01,red,medium
9.04,7.64,10.07,0.56,white,medium
5.76,6.86,12.01,0.74,red,medium
8.3,8.93,12.94,0.62,white,low
8.37,7.74,10.84,0.99,white,medium
6.19,4.49,14.22,0.75,red,high
6.38,4.34,13.03,0.31,white,high
8.01,8.33,10.62,0.56,red,low
8.12,7.45,11.33,0.73,white,low
5.82,6.7,13.83,0.99,white,high
8.51,6.91,14.35,0.63,white,medium
6.53,5.94,12.27,0.34,white,medium
8.9,4.07,13.39,0.36,white,medium
6.05,2.67,11.4,0.54,red,high
4.91,5.74,12.78,0.68,white,medium
7.38,6.73,10.0,1.09,red,high
5.31,1.07,13.94,1.03,white,high
9.42,6.69,11.02,0.53,white,medium
7.5,4.3,12.95,0.93,red,high
5.09,8.7,11.01,1.16,white,medium
5.32,7.05,14.11,0.76,white,medium
6.94,1.91,10.71,0.72,red,high
4.91,8.26,8.05,0.42,white,low
7.06,5.09,8.99,1.17,red,medium
9.37,5.29,12.89,1.16,white,high
6.92,1.57,9.05,0.83,white,medium
5.08,5.85,8.63,1.14,white,low
7.86,6.36,11.66,0.8,white,medium
6.99,8.82,8.57,0.36,red,low
5.74,7.81,8.37,0.92,white,low
5.43,5.89,10.82,0.85,red,high
7.6,3.55,13.43,1.07,red,high
4.95,8.89,11.88,0.81,red,high
6.39,1.19,11.32,0.51,white,medium
7.52,2.83,9.85,1.17,red,high
8.73,7.67,10.2,0.39,white,low
8.35,6.4,12.72,1.04,red,high
7.53,6.79,13.59,0.68,red,high
8.92,1.37,11.03,0.96,white,high
6.51,3.58,13.34,0.59,red,high
8.1,5.25,9.83,0.87,red,low
6.42,2.52,13.91,0.81,white,high
6.87,7.99,8.34,0.63,white,low
7.02,2.39,12.61,0.66,red,high
6.94,6.88,11.95,0.59,white,medium
7.77,5.15,11.0,1.07,white,medium
9.24,6.56,9.98,0.95,white,low
6.42,4.16,8.23,0.47,red,low
5.51,2.37,9.79,1.06,red,high
5.9,7.79,8.13,0.36,white,low
6.72,3.3,12.32,0.67,red,medium
6.79,6.96,8.24,0.6,red,low
7.83,2.54,11.4,0.47,red,medium
6.52,8.41,12.52,0.86,red,high
6.88,2.76,8.99,0.97,white,medium
9.5,4.41,8.91,0.41,red,low
9.38,4.22,13.07,0.8,red,high
5.36,5.02,9.99,1.16,red,medium
7.01,8.53,9.35,0.5,white,low
9.18,6.26,13.72,0.6,red,medium
5.99,8.22,10.35,0.7,white,low
6.78,2.61,9.63,0.43,red,medium
9.17,7.8,13.75,0.45,red,high
6.0,4.5,9.74,1.13,red,low
6.29,7.27,8.28,0.99,red,medium
6.44,5.64,11.0,0.48,red,medium
7.85,1.48,12.67,0.88,white,medium
6.0,2.59,14.26,0.77,white,high
5.24,7.66,11.21,0.49,red,medium
8.22,1.51,13.66,0.92,red,high
5.01,4.83,8.32,0.62,white,medium
5.03,8.98,10.7,0.54,red,high
7.07,2.64,11.38,0.5,white,low
7.14,3.43,8.43,0.51,white,medium
9.0,8.58,11.78,0.77,white,medium
6.85,5.44,12.95,0.73,red,high
5.46,1.73,11.58,0.7,red,medium
5.89,2.44,13.7,1.01,white,medium
7.13,4.46,10.99,1.14,red,high
7.78,5.78,8.7,0.81,red,medium
9.24,2.02,10.9,0.99,red,medium
6.44,1.45,9.86,0.88,red,medium
6.26,5.99,9.64,0.79,white,low
9.43,2.66,11.0,0.74,white,low
6.01,7.36,12.27,1.04,white,high
6.51,7.12,8.7,0.76,red,medium
9.2,6.24,10.05,0.35,white,low
8.91,7.08,8.67,0.99,white,low
4.95,8.81,14.42,1.04,red,high
7.42,4.51,12.35,0.68,red,medium
9.07,1.02,12.61,0.66,red,high
9.31,6.25,11.3,0.8,red,low
5.98,2.54,9.56,0.49,white,medium
6.53,8.59,11.89,0.37,red,medium
5.25,1.41,12.41,0.46,red,medium
9.36,5.57,8.2,0.75,red,low
7.05,7.59,8.62,0.91,white,low
5.33,5.3,14.17,0.34,white,high
6.75,6.5,13.1,1.11,red,high
5.05,4.41,9.25,0.9,white,medium
8.82,6.76,12.29,1.03,red,high
5.83,0.83,8.33,0.98,white,medium
8.36,7.97,10.81,0.43,red,medium
5.77,7.62,11.17,0.68,red,medium
8.28,1.47,14.1,0.87,red,medium
7.74,8.89,12.11,1.04,white,medium
5.05,1.07,13.07,0.36,white,medium
8.08,8.07,9.81,0.9,white,medium
8.84,6.34,10.19,0.4,red,low
9.28,6.57,9.53,1.09,white,low
8.42,4.77,10.48,0.83,red,medium
7.98,8.77,12.49,0.35,red,medium
5.55,3.93,12.29,0.4,white,high
5.78,5.69,11.05,0.32,red,high
6.62,2.79,8.32,1.18,white,low
6.26,4.7,10.69,0.8,red,medium
8.37,6.5,10.2,0.78,white,medium
6.95,2.37,10.2,0.59,red,medium
8.6,1.82,11.86,0.99,red,medium
8.73,6.7,10.97,0.71,red,medium
5.61,8.3,13.23,0.5,white,high
6.84,5.15,10.47,0.42,white,medium
8.26,3.39,9.31,0.72,white,low
6.7,8.51,13.03,0.48,white,high
7.64,7.79,9.8,0.4,red,medium
8.81,5.25,10.3,0.37,white,low
7.92,1.06,9.44,0.8,white,medium
7.6,6.66,10.67,0.66,white,low
7.44,4.18,8.46,0.49,white,low
9.04,8.34,11.41,1.05,white,medium
6.04,1.22,8.51,0.81,white,medium
9.49,4.77,13.33,1.1,white,medium
8.84,6.25,9.21,0.82,red,low
6.56,5.67,11.86,0.91,white,medium
5.36,4.74,8.37,0.57,red,low
5.32,4.63,8.51,0.51,red,low
7.81,4.93,12.69,1.12,red,medium
5.98,8.07,11.85,0.83,red,high
7.23,4.62,9.65,0.91,white,low
8.61,3.27,9.93,0.37,white,low
5.85,1.15,10.45,0.33,white,medium
8.99,8.0,13.13,0.5,white,high
6.24,6.46,11.22,1.04,red,high
5.34,7.44,13.84,0.93,white,high
6.98,4.86,13.34,1.07,white,high
8.31,4.9,8.21,0.48,white,low
8.67,5.05,8.74,1.15,white,low
6.02,5.26,12.66,0.79,red,medium
8.51,3.56,10.04,0.67,red,medium
7.41,1.93,11.79,0.55,white,medium
6.96,6.65,10.03,0.61,white,low
7.43,1.42,8.08,0.8,red,low
7.46,6.26,10.83,0.77,red,low
7.01,2.82,8.02,0.78,white,medium
7.21,1.07,9.44,0.96,red,high
8.45,0.87,10.4,0.86,white,medium
5.84,4.17,12.87,0.54,white,high
7.72,6.49,9.62,0.88,red,medium
7.68,7.3,9.94,0.32,red,medium
7.26,3.78,8.39,1.01,white,low
7.1,6.84,13.84,1.12,red,high
4.89,2.8,13.9,0.37,red,high
6.3,4.31,13.67,0.47,white,high
9.15,5.11,10.95,0.65,white,medium
5.92,1.77,8.0,1.19,white,medium
8.32,7.83,11.3,0.93,red,high
7.61,7.46,8.12,0.44,white,low
5.45,3.61,12.2,1.13,red,high
8.95,6.62,8.02,1.17,red,low
5.45,4.22,12.49,0.42,red,high
6.05,2.01,12.7,0.89,red,high
6.38,2.18,12.74,1.02,white,high
8.58,4.69,8.73,0.93,red,low
4.92,1.38,13.11,0.82,red,high
6.48,3.93,10.69,0.92,white,medium
7.44,2.34,12.86,0.81,white,medium
8.24,7.11,12.24,1.13,white,medium
9.02,6.0,10.64,0.9,white,low
6.99,5.39,8.97,1.0,white,low
9.4,7.67,12.72,0.96,white,medium
8.7,8.74,14.07,0.61,white,high
8.79,3.95,11.3,0.55,red,high
7.05,4.31,14.0,1.07,white,high
8.8,6.94,10.7,0.91,red,medium
8.19,4.99,10.99,0.73,red,medium
5.41,4.87,13.85,0.66,white,high
8.41,7.7,8.18,1.13,red,low
7.08,7.82,9.18,0.84,red,medium
7.82,7.59,10.31,0.99,white,medium
6.71,8.59,11.34,0.79,white,medium
4.89,2.46,11.16,0.82,red,medium
7.38,2.41,9.33,1.19,red,medium
8.47,3.8,9.53,0.96,white,medium
6.33,3.53,10.74,1.19,red,high
8.47,1.79,9.09,0.81,white,low
6.19,3.31,8.94,1.13,white,medium
6.24,1.39,12.45,1.11,white,high
5.78,2.97,9.38,0.75,red,low
9.24,8.17,11.3,0.3,white,low
7.19,3.75,13.35,0.69,white,medium
4.81,5.17,10.24,0.32,white,low
6.9,8.52,8.04,0.68,red,low
7.33,1.87,8.33,0.32,white,low
6.07,3.91,8.85,0.34,white,low
5.04,5.82,10.73,0.38,red,medium
8.27,6.94,13.78,1.16,red,high
5.02,4.05,10.76,0.49,red,medium
7.0,3.59,13.96,0.79,red,high
7.29,4.63,8.35,0.43,red,low
7.99,2.87,12.92,1.0,white,medium
5.69,5.58,9.44,0.91,red,medium
7.32,5.67,8.69,0.58,white,low
8.95,1.86,13.9,0.77,white,medium
6.35,4.67,8.36,0.68,white,medium
7.32,3.92,10.0,0.64,white,low
9.47,7.4,12.25,0.62,red,medium
9.18,2.57,9.16,0.7,white,medium
9.35,4.37,11.23,1.02,red,high
5.31,4.02,9.85,1.2,white,medium
8.46,1.66,14.2,0.78,red,high
8.83,7.7,11.19,1.14,white,medium
7.59,5.17,10.02,0.96,white,medium
9.46,7.82,14.13,0.47,white,medium
6.11,7.23,10.28,0.41,white,low
7.1,7.03,9.8,0.79,white,low
5.75,6.55,11.78,0.89,red,medium
5.5,3.44,8.86,0.48,white,low
6.16,1.99,12.77,0.74,white,high
8.67,6.09,13.01,0.88,white,high
5.62,3.69,8.38,1.09,red,medium
9.19,1.44,11.35,1.08,white,high
5.22,4.26,13.33,0.55,red,medium
5.71,5.95,13.55,0.79,red,high
7.23,2.88,12.15,0.3,white,medium
6.75,6.08,9.89,0.5,white,medium
7.65,3.76,9.67,0.92,white,low
9.32,5.41,9.98,0.36,red,low
7.49,6.55,11.41,0.41,red,low
7.88,5.55,12.12,0.34,white,medium
9.45,4.51,8.6,0.84,white,low
5.72,5.62,12.7,0.69,white,medium
6.13,1.67,14.22,0.85,white,high
5.45,5.93,10.4,0.87,white,medium
8.31,5.71,12.4,1.12,red,high
5.79,7.1,14.04,1.03,red,high
5.02,1.7,13.52,0.38,white,medium
5.86,2.22,9.03,0.34,white,low
6.21,8.08,12.58,1.01,white,high
7.84,7.39,10.35,0.6,white,low
7.33,4.08,13.58,1.13,white,high
4.87,8.16,9.85,1.19,red,medium
6.42,1.15,12.71,1.03,white,high
8.22,2.64,8.11,0.61,white,low
8.93,3.65,13.66,1.09,white,medium
7.21,5.76,11.95,0.57,white,medium
7.63,1.24,12.3,0.74,red,medium
8.26,5.95,12.51,1.14,white,high
7.97,7.33,10.67,0.41,white,low
5.21,4.39,9.68,1.13,white,high
5.4,4.94,9.24,0.31,white,medium
9.14,7.4,13.82,0.89,white,high
5.16,3.04,10.15,0.75,white,medium
5.84,7.2,11.9,1.17,red,medium
8.03,5.37,11.87,0.56,white,low
6.08,5.05,13.52,1.0,white,high
8.76,4.92,10.88,1.1,white,low
5.84,8.99,8.83,0.5,red,low
9.35,1.15,14.19,0.39,white,medium
6.4,6.51,14.28,0.4,red,medium
9.44,6.21,14.0,0.42,white,high
7.62,4.65,8.35,1.02,red,medium
8.81,1.7,14.07,0.97,red,high
6.44,1.1,12.03,0.76,white,high
7.31,4.34,13.56,0.4,white,high
9.17,5.48,13.21,1.12,white,high
8.8,1.77,12.71,0.93,white,medium
7.79,2.16,13.6,0.3,red,medium
7.83,8.08,13.25,0.84,white,medium
5.44,8.45,8.85,0.81,red,low
7.52,6.11,11.62,1.16,red,high
7.49,2.46,11.15,0.54,white,medium
9.28,7.71,9.83,0.38,red,low
6.02,5.78,10.59,0.77,white,low
8.11,1.62,13.15,1.01,white,high
5.8,1.4,10.19,1.1,red,high
6.58,6.36,8.31,1.03,white,low
7.79,4.92,12.32,0.76,white,high
6.38,4.07,8.17,0.74,white,medium
8.92,5.75,10.25,0.49,white,medium
7.96,8.65,10.32,1.14,white,low
5.48,5.0,10.56,0.4,red,medium
5.76,5.21,11.52,1.11,white,high
5.28,0.83,10.24,1.12,red,high
9.05,4.7,12.44,0.82,red,medium
7.03,8.5,12.27,0.93,red,medium
6.3,2.13,12.8,0.38,white,high
7.18,2.66,10.8,0.53,red,low
5.83,7.0,11.29,0.72,white,medium
8.32,5.51,13.1,0.59,red,medium
7.13,8.26,9.22,1.18,red,medium
9.45,5.4,10.8,0.46,red,medium
7.64,2.43,10.19,1.17,red,medium
5.26,5.19,11.88,0.58,red,high
6.77,1.26,8.53,0.78,white,low
5.66,3.13,12.37,0.9,white,high
5.25,1.29,11.62,0.72,red,medium
9.47,4.34,9.25,1.17,white,medium
8.24,5.21,12.61,0.79,white,medium
7.54,7.7,10.85,0.93,white,low
9.07,2.45,14.35,0.63,red,high
6.63,1.61,13.35,1.11,red,high
6.58,8.89,9.07,0.46,red,low
5.94,5.41,9.21,0.56,red,low
5.54,3.18,11.67,0.78,white,high
6.55,3.56,11.42,0.51,white,high
4.96,2.62,13.82,0.97,red,high
5.06,8.5,9.48,0.99,red,medium
5.15,2.62,13.4,0.68,white,medium
9.24,1.08,8.03,0.65,red,low
4.99,5.69,13.27,0.47,red,medium
6.03,3.94,10.88,1.16,red,medium
6.01,8.88,9.64,0.79,red,medium
9.47,6.63,9.83,0.9,red,medium
6.07,7.2,8.23,0.65,red,low
5.43,5.1,12.3,0.31,red,medium
9.38,3.7,13.27,1.08,red,medium
8.92,3.59,8.07,0.83,white,low
9.03,8.4,13.45,0.87,white,high
8.66,2.09,14.31,0.8,red,medium
6.36,2.0,11.9,0.97,white,high
6.49,2.26,11.27,0.41,white,low
